*
Temp0 deg C	Temp1 deg C	Time (sec)
314.686411	28.606107	2.000000
315.137947	28.348086	4.000000
313.751087	28.606107	6.000000
312.106206	28.477096	8.000000
309.848526	28.380339	10.000000
307.945624	28.477096	12.000000
306.332995	28.283581	14.000000
304.655862	28.670612	16.000000
302.978728	28.186823	18.000000
301.817635	28.090066	20.000000
300.172754	27.993308	22.000000
298.914904	28.670612	24.000000
297.270023	28.477096	26.000000
295.818657	28.509349	28.000000
294.109271	28.509349	30.000000
293.044936	28.186823	32.000000
291.819338	27.993308	34.000000
289.851932	28.186823	36.000000
289.400396	28.251328	38.000000
287.368484	28.251328	40.000000
286.239644	28.509349	42.000000
284.691520	28.541602	44.000000
283.691690	28.412591	46.000000
282.401588	28.315834	48.000000
281.014727	28.412591	50.000000
279.563361	28.122318	52.000000
278.208753	28.541602	54.000000
276.789640	27.703035	56.000000
276.305852	29.057643	58.000000
274.789981	28.831875	60.000000
273.241858	28.799622	62.000000
272.080765	28.864127	64.000000
271.371208	28.606107	66.000000
269.629570	28.831875	68.000000
268.758750	28.219076	70.000000
267.629910	28.606107	72.000000
266.339807	28.993138	74.000000
265.275472	28.186823	76.000000
264.307895	29.541431	78.000000
262.953287	28.767370	80.000000
262.275983	28.412591	82.000000
261.243901	28.348086	84.000000
259.921546	28.638359	86.000000
258.470180	28.219076	88.000000
257.405845	28.412591	90.000000
256.244753	28.702864	92.000000
255.373933	28.477096	94.000000
254.503114	28.864127	96.000000
253.180758	28.348086	98.000000
251.858403	28.219076	100.000000
251.310109	28.219076	102.000000
250.342532	28.509349	104.000000
249.084682	28.573854	106.000000
248.310620	28.509349	108.000000
246.988265	28.960885	110.000000
246.085193	28.154571	112.000000
245.085363	28.960885	114.000000
243.763008	28.219076	116.000000
243.150209	28.670612	118.000000
242.182632	28.993138	120.000000
240.795771	28.638359	122.000000
240.376488	28.380339	124.000000
239.408911	29.476926	126.000000
238.086555	28.412591	128.000000
237.086725	28.154571	130.000000
236.344916	28.509349	132.000000
235.570855	28.864127	134.000000
234.603277	27.832045	136.000000
233.764711	28.606107	138.000000
232.700376	28.541602	140.000000
231.700546	27.993308	142.000000
231.055495	28.864127	144.000000
229.733139	28.831875	146.000000
229.571876	28.960885	148.000000
228.701057	28.541602	150.000000
227.733480	28.573854	152.000000
226.282114	28.154571	154.000000
226.153104	28.799622	156.000000
224.959759	28.477096	158.000000
224.088939	27.961055	160.000000
223.508393	28.606107	162.000000
222.669826	28.702864	164.000000
221.637744	28.638359	166.000000
221.411976	28.702864	168.000000
220.121873	28.283581	170.000000
219.315559	28.315834	172.000000
218.702760	28.154571	174.000000
217.928698	28.864127	176.000000
216.993374	28.348086	178.000000
216.541838	28.509349	180.000000
215.380745	28.864127	182.000000
214.638936	28.735117	184.000000
214.090642	28.283581	186.000000
213.123065	28.509349	188.000000
212.252246	28.057813	190.000000
211.994225	28.638359	192.000000
211.058901	28.348086	194.000000
209.865556	28.864127	196.000000
209.607535	28.702864	198.000000
208.672210	28.864127	200.000000
207.833644	28.219076	202.000000
206.769309	28.315834	204.000000
205.962994	28.735117	206.000000
205.704974	28.735117	208.000000
204.801902	28.090066	210.000000
204.092345	28.831875	212.000000
203.447294	27.928803	214.000000
203.415041	28.702864	216.000000
202.576475	28.154571	218.000000
201.383129	28.960885	220.000000
200.673573	28.735117	222.000000
200.060774	28.573854	224.000000
199.641491	28.573854	226.000000
198.673913	28.348086	228.000000
197.964357	28.735117	230.000000
197.738589	29.218906	232.000000
197.383811	28.380339	234.000000
196.093708	28.960885	236.000000
195.706677	28.057813	238.000000
195.126131	28.702864	240.000000
193.900533	28.670612	242.000000
193.739270	28.993138	244.000000
193.094219	28.670612	246.000000
192.287904	28.670612	248.000000
191.481590	28.154571	250.000000
190.804286	29.154400	252.000000
190.417255	28.831875	254.000000
189.772204	28.251328	256.000000
189.191658	28.606107	258.000000
188.707869	28.219076	260.000000
188.288586	28.283581	262.000000
187.256503	28.767370	264.000000
187.224251	28.799622	266.000000
186.417936	29.089895	268.000000
185.901895	28.444844	270.000000
184.869813	28.315834	272.000000
184.063499	28.412591	274.000000
183.998994	28.606107	276.000000
183.386195	28.702864	278.000000
182.708891	28.509349	280.000000
182.321860	28.638359	282.000000
181.064010	28.767370	284.000000
180.676979	28.735117	286.000000
179.967422	28.412591	288.000000
179.677149	28.251328	290.000000
179.644897	28.573854	292.000000
178.645067	28.735117	294.000000
177.903258	28.767370	296.000000
177.967763	28.606107	298.000000
176.806670	28.928632	300.000000
176.709913	28.799622	302.000000
176.032609	28.928632	304.000000
175.516567	29.089895	306.000000
174.613495	28.283581	308.000000
174.419980	28.348086	310.000000
173.484656	28.315834	312.000000
172.646089	28.864127	314.000000
172.904109	27.961055	316.000000
172.291310	28.090066	318.000000
171.614006	27.993308	320.000000
171.388238	28.477096	322.000000
170.807692	28.799622	324.000000
169.969125	28.348086	326.000000
169.840115	28.251328	328.000000
169.130558	28.154571	330.000000
168.646770	27.864298	332.000000
168.582265	28.702864	334.000000
167.937213	28.541602	336.000000
167.066394	28.186823	338.000000
166.711616	28.154571	340.000000
167.066394	28.896380	342.000000
166.098817	28.412591	344.000000
165.389260	27.961055	346.000000
164.840966	28.444844	348.000000
165.002229	28.735117	350.000000
164.711956	28.864127	352.000000
163.808884	27.896550	354.000000
163.808884	28.315834	356.000000
163.228338	27.832045	358.000000
162.905812	28.057813	360.000000
162.551034	27.961055	362.000000
162.196256	27.896550	364.000000
162.841307	28.412591	366.000000
162.228508	28.219076	368.000000
162.583287	28.477096	370.000000
161.970488	28.122318	372.000000
161.873730	28.251328	374.000000
161.776972	28.090066	376.000000
161.325436	28.315834	378.000000
161.841477	28.315834	380.000000
161.647962	28.606107	382.000000
161.454447	28.509349	384.000000
161.002911	27.735287	386.000000
160.938405	27.638530	388.000000
161.002911	28.186823	390.000000
161.131921	28.348086	392.000000
161.647962	27.993308	394.000000
161.164173	28.315834	396.000000
160.744890	28.380339	398.000000
161.196426	28.509349	400.000000
160.325607	28.670612	402.000000
160.583627	28.638359	404.000000
160.261101	28.509349	406.000000
160.132091	28.638359	408.000000
160.454617	28.122318	410.000000
160.325607	28.283581	412.000000
159.777313	28.444844	414.000000
159.551545	27.832045	416.000000
159.874071	28.541602	418.000000
159.777313	28.315834	420.000000
159.583797	28.638359	422.000000
159.454787	28.380339	424.000000
159.390282	28.090066	426.000000
159.261272	27.799792	428.000000
159.616050	27.961055	430.000000
158.906493	28.154571	432.000000
158.712978	27.799792	434.000000
158.745231	28.541602	436.000000
158.487210	28.444844	438.000000
158.229189	28.251328	440.000000
157.971169	28.283581	442.000000
158.067927	28.477096	444.000000
157.971169	27.993308	446.000000
157.971169	27.864298	448.000000
157.487380	28.573854	450.000000
157.229360	28.638359	452.000000
156.842329	28.057813	454.000000
157.197107	27.993308	456.000000
156.777824	28.412591	458.000000
156.842329	28.606107	460.000000
156.229530	27.896550	462.000000
156.681066	28.315834	464.000000
156.261783	28.606107	466.000000
156.390793	28.509349	468.000000
155.616731	28.251328	470.000000
155.907004	28.412591	472.000000
155.584479	28.251328	474.000000
155.326458	27.928803	476.000000
155.713489	28.735117	478.000000
155.261953	28.606107	480.000000
155.261953	28.541602	482.000000
154.778164	28.315834	484.000000
154.584649	27.896550	486.000000
154.616901	28.509349	488.000000
153.971850	27.961055	490.000000
153.520314	28.477096	492.000000
153.649324	28.864127	494.000000
153.842840	28.477096	496.000000
153.907345	27.961055	498.000000
153.197788	28.251328	500.000000
153.262294	28.283581	502.000000
153.068778	28.831875	504.000000
153.230041	28.702864	506.000000
152.584990	28.348086	508.000000
152.520484	28.509349	510.000000
152.133454	28.831875	512.000000
152.230211	28.412591	514.000000
151.939938	28.348086	516.000000
151.359392	28.831875	518.000000
151.262634	27.993308	520.000000
151.391644	28.606107	522.000000
151.165876	28.960885	524.000000
151.617412	28.315834	526.000000
150.778846	28.702864	528.000000
150.359562	28.799622	530.000000
150.424067	28.348086	532.000000
150.553078	28.380339	534.000000
150.198299	28.864127	536.000000
149.940279	28.477096	538.000000
149.746763	28.219076	540.000000
149.553248	28.412591	542.000000
149.617753	28.606107	544.000000
149.133964	28.444844	546.000000
149.456490	28.606107	548.000000
149.166217	28.219076	550.000000
148.392155	27.928803	552.000000
148.617923	28.057813	554.000000
148.392155	28.896380	556.000000
148.037377	28.315834	558.000000
147.489083	28.380339	560.000000
147.489083	28.315834	562.000000
147.714851	28.864127	564.000000
147.456831	28.799622	566.000000
146.844032	28.090066	568.000000
146.844032	28.509349	570.000000
146.876284	28.831875	572.000000
146.618264	28.186823	574.000000
146.489254	28.541602	576.000000
146.779527	28.638359	578.000000
146.198980	27.864298	580.000000
145.908707	28.928632	582.000000
145.715192	28.638359	584.000000
145.457171	28.219076	586.000000
145.457171	28.477096	588.000000
145.328161	28.573854	590.000000
144.683110	28.348086	592.000000
144.425089	28.348086	594.000000
144.812120	28.412591	596.000000
144.521847	29.057643	598.000000
144.457342	28.251328	600.000000
143.844543	27.896550	602.000000
143.715533	28.186823	604.000000
143.812290	27.767540	606.000000
143.844543	27.799792	608.000000
142.973723	28.412591	610.000000
143.038229	27.832045	612.000000
142.973723	28.315834	614.000000
142.522187	28.509349	616.000000
142.586693	28.315834	618.000000
142.651198	27.928803	620.000000
142.199662	28.283581	622.000000
142.006146	28.380339	624.000000
142.167409	28.025560	626.000000
141.522358	28.670612	628.000000
141.457853	28.122318	630.000000
141.522358	27.896550	632.000000
140.941811	27.799792	634.000000
141.264337	28.799622	636.000000
140.490275	28.348086	638.000000
140.845054	28.025560	640.000000
140.619286	28.090066	642.000000
140.296760	28.509349	644.000000
140.232255	28.444844	646.000000
140.296760	28.541602	648.000000
139.522698	28.283581	650.000000
139.458193	27.735287	652.000000
139.361435	28.025560	654.000000
139.135667	28.477096	656.000000
138.651879	28.283581	658.000000
139.006657	28.348086	660.000000
138.361606	27.928803	662.000000
138.748637	27.928803	664.000000
138.716384	27.864298	666.000000
138.587374	27.864298	668.000000
138.200343	27.799792	670.000000
138.264848	28.122318	672.000000
138.361606	28.380339	674.000000
137.942322	28.412591	676.000000
137.813312	28.315834	678.000000
137.942322	28.638359	680.000000
138.361606	28.541602	682.000000
137.716554	28.541602	684.000000
138.006827	27.541772	686.000000
137.652049	28.283581	688.000000
138.297101	28.380339	690.000000
137.716554	28.444844	692.000000
138.071333	28.122318	694.000000
138.071333	28.186823	696.000000
137.877817	28.315834	698.000000
137.523039	28.122318	700.000000
137.942322	28.057813	702.000000
137.877817	28.573854	704.000000
138.039080	28.541602	706.000000
138.200343	27.993308	708.000000
138.200343	28.573854	710.000000
138.619626	28.154571	712.000000
138.716384	28.186823	714.000000
138.458363	28.896380	716.000000
138.264848	28.057813	718.000000
138.426111	28.477096	720.000000
138.555121	27.799792	722.000000
138.684131	28.251328	724.000000
138.684131	27.993308	726.000000
138.555121	27.832045	728.000000
138.168090	28.412591	730.000000
138.522869	27.896550	732.000000
138.135838	27.928803	734.000000
138.103585	27.961055	736.000000
138.361606	28.735117	738.000000
138.393858	28.315834	740.000000
137.942322	27.896550	742.000000
138.006827	28.638359	744.000000
138.297101	28.315834	746.000000
137.974575	28.541602	748.000000
137.974575	28.122318	750.000000
138.684131	28.831875	752.000000
138.361606	28.348086	754.000000
138.071333	28.541602	756.000000
138.522869	28.444844	758.000000
137.942322	27.961055	760.000000
