*
Temp0 deg C	Temp1 deg C	Time (sec)
29.320357	323.742067	2.000000
29.127188	328.764461	4.000000
29.030603	328.378123	6.000000
28.934019	327.863006	8.000000
28.998408	326.349849	10.000000
28.998408	324.675718	12.000000
28.837434	323.259145	14.000000
28.934019	321.906962	16.000000
28.998408	320.136247	18.000000
29.030603	318.816259	20.000000
28.869629	316.659205	22.000000
29.159382	314.888490	24.000000
29.610110	313.471917	26.000000
29.094993	312.023150	28.000000
29.449136	309.769512	30.000000
28.740850	308.224160	32.000000
28.612070	306.389055	34.000000
28.934019	305.391015	36.000000
28.901824	303.491520	38.000000
29.062798	302.042753	40.000000
28.805239	300.400816	42.000000
29.030603	298.533516	44.000000
29.030603	297.020359	46.000000
29.513526	295.635982	48.000000
28.837434	293.994046	50.000000
28.773045	292.931616	52.000000
29.352551	290.967732	54.000000
29.416941	289.197016	56.000000
28.998408	287.748249	58.000000
29.255967	286.396066	60.000000
28.966213	284.882909	62.000000
29.094993	283.498531	64.000000
28.901824	282.210738	66.000000
29.191577	280.858555	68.000000
29.288162	279.313203	70.000000
28.966213	278.025410	72.000000
28.869629	276.544448	74.000000
28.934019	275.224460	76.000000
28.998408	274.226421	78.000000
28.998408	272.938627	80.000000
28.837434	271.361081	82.000000
28.837434	269.719144	84.000000
28.805239	268.849884	86.000000
28.579876	268.238182	88.000000
28.483291	266.177713	90.000000
28.773045	264.986505	92.000000
29.191577	263.956270	94.000000
29.449136	262.539698	96.000000
28.547681	261.348489	98.000000
29.062798	260.286060	100.000000
28.740850	259.127046	102.000000
28.998408	257.485109	104.000000
29.255967	256.422680	106.000000
29.094993	255.070497	108.000000
29.094993	254.169042	110.000000
29.030603	252.881249	112.000000
28.773045	251.786625	114.000000
29.062798	250.466637	116.000000
29.062798	249.661766	118.000000
28.998408	248.921285	120.000000
29.320357	247.472518	122.000000
28.805239	246.120335	124.000000
28.708655	245.090100	126.000000
29.030603	244.317424	128.000000
29.094993	243.254995	130.000000
29.320357	242.095981	132.000000
28.579876	241.194526	134.000000
29.159382	240.164291	136.000000
28.515486	238.844303	138.000000
28.612070	237.846264	140.000000
29.094993	236.912614	142.000000
28.547681	236.043353	144.000000
29.062798	235.109703	146.000000
28.418901	233.886300	148.000000
28.805239	233.564352	150.000000
29.062798	232.373143	152.000000
29.062798	231.181934	154.000000
29.062798	230.248284	156.000000
29.030603	229.668777	158.000000
28.708655	228.059036	160.000000
29.062798	227.415139	162.000000
28.386707	227.093191	164.000000
28.966213	225.805398	166.000000
29.030603	224.775163	168.000000
28.966213	224.195656	170.000000
28.837434	222.585915	172.000000
29.255967	221.909823	174.000000
28.805239	221.523486	176.000000
28.579876	220.010329	178.000000
29.288162	219.559601	180.000000
28.644265	218.625951	182.000000
28.966213	218.207418	184.000000
28.354512	216.565482	186.000000
28.740850	215.599637	188.000000
28.418901	215.342078	190.000000
28.966213	214.311844	192.000000
28.483291	213.700142	194.000000
28.290122	212.637713	196.000000
28.547681	212.090401	198.000000
29.094993	211.221140	200.000000
28.901824	210.384075	202.000000
28.934019	209.482619	204.000000
28.708655	208.838723	206.000000
28.934019	208.033852	208.000000
28.386707	207.261176	210.000000
