*
Temp0 deg C	Temp1 deg C	Time (sec)
29.127188	340.418989	2.000000
29.094993	345.473577	4.000000
29.191577	343.380913	6.000000
28.386707	340.483379	8.000000
29.899864	336.941947	10.000000
29.481331	334.817089	12.000000
29.288162	332.112723	14.000000
28.805239	329.633721	16.000000
29.030603	327.315693	18.000000
29.384746	325.255224	20.000000
29.610110	322.776223	22.000000
28.934019	321.102091	24.000000
28.676460	318.945038	26.000000
29.288162	317.045543	28.000000
29.481331	315.049464	30.000000
29.835474	313.085579	32.000000
28.934019	311.218279	34.000000
29.288162	309.640732	36.000000
29.127188	307.934406	38.000000
29.223772	306.002717	40.000000
28.901824	304.360780	42.000000
28.934019	302.718844	44.000000
29.127188	301.076908	46.000000
28.869629	299.048634	48.000000
28.676460	297.793035	50.000000
29.127188	296.601827	52.000000
28.966213	294.412578	54.000000
28.934019	293.092590	56.000000
28.805239	291.611628	58.000000
28.805239	290.613588	60.000000
28.612070	288.488730	62.000000
28.998408	287.007768	64.000000
28.998408	285.848754	66.000000
29.449136	284.464376	68.000000
28.644265	282.661466	70.000000
29.159382	281.244893	72.000000
29.449136	280.053685	74.000000
29.416941	278.798086	76.000000
28.515486	277.767852	78.000000
29.384746	276.286890	80.000000
28.773045	274.902512	82.000000
28.901824	273.872277	84.000000
28.966213	272.391315	86.000000
29.288162	271.200107	88.000000
28.612070	270.266457	90.000000
29.159382	268.978663	92.000000
28.966213	268.495741	94.000000
28.773045	267.336727	96.000000
28.869629	266.918194	98.000000
28.998408	266.016739	100.000000
28.966213	265.437232	102.000000
28.934019	265.437232	104.000000
28.676460	265.244063	106.000000
28.612070	265.598206	108.000000
28.934019	266.145518	110.000000
28.805239	267.046974	112.000000
28.676460	266.918194	114.000000
28.805239	267.594286	116.000000
28.934019	268.270377	118.000000
29.255967	268.334767	120.000000
28.644265	269.010858	122.000000
29.030603	269.461586	124.000000
29.481331	269.107443	126.000000
28.612070	269.493781	128.000000
28.644265	269.751339	130.000000
28.901824	269.365001	132.000000
28.966213	269.461586	134.000000
28.773045	269.332807	136.000000
28.483291	269.590365	138.000000
28.998408	269.204027	140.000000
29.062798	268.914274	142.000000
28.740850	269.139638	144.000000
29.191577	269.300612	146.000000
29.030603	269.365001	148.000000
28.773045	269.236222	150.000000
29.159382	269.815729	152.000000
29.288162	269.236222	154.000000
29.127188	269.525975	156.000000
29.030603	269.204027	158.000000
28.773045	269.332807	160.000000
28.934019	269.171832	162.000000
28.837434	269.268417	164.000000
28.644265	269.525975	166.000000
28.966213	269.332807	168.000000
29.288162	269.525975	170.000000
29.094993	269.171832	172.000000
28.708655	269.300612	174.000000
28.998408	269.590365	176.000000
28.740850	269.461586	178.000000
29.513526	269.461586	180.000000
28.837434	269.493781	182.000000
29.449136	269.397196	184.000000
28.901824	269.525975	186.000000
29.384746	269.107443	188.000000
28.837434	269.525975	190.000000
29.771084	269.300612	192.000000
28.805239	269.332807	194.000000
29.288162	269.107443	196.000000
29.610110	269.525975	198.000000
29.127188	269.525975	200.000000
29.384746	269.268417	202.000000
28.837434	269.525975	204.000000
29.288162	269.107443	206.000000
29.159382	269.332807	208.000000
28.901824	269.397196	210.000000
29.288162	269.107443	212.000000
29.255967	269.493781	214.000000
28.998408	269.461586	216.000000
29.384746	269.171832	218.000000
29.094993	269.332807	220.000000
29.030603	269.686950	222.000000
28.869629	269.525975	224.000000
28.966213	269.010858	226.000000
29.191577	269.622560	228.000000
29.127188	269.204027	230.000000
28.708655	269.236222	232.000000
29.288162	269.204027	234.000000
29.384746	269.332807	236.000000
29.416941	269.204027	238.000000
28.966213	269.397196	240.000000
29.610110	269.043053	242.000000
29.416941	269.429391	244.000000
28.773045	268.817689	246.000000
29.384746	269.236222	248.000000
29.416941	269.010858	250.000000
