*
Temp0 deg C	Temp1 deg C	Time (sec)
51.666695	28.380339	2.000000
87.370291	27.799792	4.000000
114.204430	28.251328	6.000000
133.717236	28.219076	8.000000
149.391985	28.509349	10.000000
161.680215	28.541602	12.000000
171.001208	28.509349	14.000000
178.677319	28.283581	16.000000
185.547117	28.412591	18.000000
190.965549	28.638359	20.000000
195.287393	28.251328	22.000000
198.738419	28.380339	24.000000
201.157361	28.573854	26.000000
203.931083	27.928803	28.000000
206.543541	28.638359	30.000000
208.156169	28.960885	32.000000
210.123576	28.670612	34.000000
211.865215	28.606107	36.000000
213.413338	28.315834	38.000000
214.477673	28.864127	40.000000
215.767776	28.670612	42.000000
215.832281	28.315834	44.000000
215.767776	28.348086	46.000000
216.638595	27.832045	48.000000
216.928869	28.025560	50.000000
217.380405	28.670612	52.000000
217.606173	27.832045	54.000000
217.573920	28.251328	56.000000
217.315899	28.122318	58.000000
216.864363	28.638359	60.000000
216.670848	28.219076	62.000000
216.606343	28.283581	64.000000
216.574090	28.057813	66.000000
216.380575	28.573854	68.000000
215.703271	28.412591	70.000000
215.832281	28.154571	72.000000
215.574261	28.606107	74.000000
214.832451	28.251328	76.000000
215.058219	27.928803	78.000000
214.993714	28.154571	80.000000
214.219653	28.251328	82.000000
214.122895	27.638530	84.000000
213.703612	28.380339	86.000000
213.187570	28.444844	88.000000
212.284498	28.251328	90.000000
211.865215	27.896550	92.000000
211.800710	28.606107	94.000000
210.768628	28.348086	96.000000
209.801050	28.122318	98.000000
209.155999	28.283581	100.000000
208.543200	28.380339	102.000000
207.736886	27.799792	104.000000
207.156340	28.831875	106.000000
206.511288	28.348086	108.000000
206.446783	28.444844	110.000000
205.898489	28.122318	112.000000
204.995417	28.380339	114.000000
204.221356	28.122318	116.000000
203.705315	28.541602	118.000000
202.737737	28.154571	120.000000
202.511969	27.767540	122.000000
201.576645	28.477096	124.000000
201.447635	28.638359	126.000000
200.125279	28.477096	128.000000
199.609238	27.735287	130.000000
198.577156	27.799792	132.000000
199.060944	28.348086	134.000000
197.932104	28.412591	136.000000
197.287053	27.896550	138.000000
196.674254	27.928803	140.000000
195.609919	28.057813	142.000000
195.642172	28.025560	144.000000
194.513332	27.799792	146.000000
194.255311	28.638359	148.000000
193.642512	28.348086	150.000000
192.900703	28.380339	152.000000
192.449167	28.315834	154.000000
191.707358	28.315834	156.000000
191.352580	28.315834	158.000000
190.610771	27.928803	160.000000
190.933296	29.283411	162.000000
189.739951	28.154571	164.000000
188.804627	28.477096	166.000000
188.578859	28.122318	168.000000
187.579029	28.090066	170.000000
188.385343	28.477096	172.000000
187.030735	28.057813	174.000000
186.546947	28.541602	176.000000
185.901895	28.025560	178.000000
185.192339	28.509349	180.000000
184.579540	28.928632	182.000000
184.257014	28.864127	184.000000
183.482953	28.509349	186.000000
182.450870	28.219076	188.000000
181.902577	28.283581	190.000000
181.354283	27.864298	192.000000
180.741484	28.348086	194.000000
180.483463	27.896550	196.000000
180.096433	28.380339	198.000000
179.322371	28.090066	200.000000
178.387046	28.154571	202.000000
177.709742	27.864298	204.000000
177.483974	28.251328	206.000000
176.709913	28.606107	208.000000
176.161619	27.928803	210.000000
