*
Temp0 deg C	Temp1 deg C	Time (sec)
162.712297	27.186994	2.000000
279.079573	27.380509	4.000000
291.109782	27.832045	6.000000
294.818827	27.864298	8.000000
296.657224	27.606277	10.000000
296.657224	27.251499	12.000000
296.495961	27.961055	14.000000
296.012173	27.670782	16.000000
295.012343	27.477267	18.000000
295.109101	27.316004	20.000000
293.625482	27.864298	22.000000
291.948349	27.638530	24.000000
291.335550	27.703035	26.000000
290.109952	27.445014	28.000000
288.852102	27.896550	30.000000
287.787767	27.703035	32.000000
286.594422	27.380509	34.000000
285.368824	27.767540	36.000000
284.498005	27.799792	38.000000
283.014387	27.316004	40.000000
281.627526	27.541772	42.000000
280.627696	27.703035	44.000000
279.627867	27.380509	46.000000
278.563532	27.541772	48.000000
277.821723	27.928803	50.000000
276.176841	27.380509	52.000000
274.628718	27.316004	54.000000
273.628888	27.606277	56.000000
272.435543	27.735287	58.000000
271.822744	27.412762	60.000000
270.564894	27.767540	62.000000
269.242539	27.670782	64.000000
268.500730	27.928803	66.000000
267.500900	27.638530	68.000000
266.081787	27.412762	70.000000
264.856189	27.703035	72.000000
263.985370	27.477267	74.000000
262.759772	27.477267	76.000000
261.243901	27.767540	78.000000
260.244071	27.412762	80.000000
258.953969	27.767540	82.000000
258.115402	27.380509	84.000000
256.502773	27.767540	86.000000
255.760964	27.348256	88.000000
254.567619	28.348086	90.000000
253.374274	27.412762	92.000000
252.084171	27.638530	94.000000
251.406867	28.090066	96.000000
250.503795	27.832045	98.000000
249.665228	27.025731	100.000000
248.600893	27.832045	102.000000
247.246285	27.348256	104.000000
246.278708	27.896550	106.000000
245.569152	27.509519	108.000000
244.666080	27.316004	110.000000
243.956523	27.638530	112.000000
242.698673	27.057983	114.000000
241.860106	27.541772	116.000000
240.440993	27.864298	118.000000
239.666931	27.541772	120.000000
238.215565	27.574024	122.000000
237.893040	28.025560	124.000000
237.344746	27.735287	126.000000
235.893380	28.670612	128.000000
235.022561	27.735287	130.000000
233.796963	28.154571	132.000000
233.216417	27.412762	134.000000
232.087577	27.606277	136.000000
231.539283	27.638530	138.000000
230.313686	27.735287	140.000000
229.539624	27.509519	142.000000
228.636552	27.799792	144.000000
227.668975	27.703035	146.000000
226.604640	27.703035	148.000000
225.991841	27.122488	150.000000
225.604810	27.445014	152.000000
224.572728	27.735287	154.000000
223.250373	27.380509	156.000000
222.669826	27.090236	158.000000
221.992522	27.219246	160.000000
221.153955	28.219076	162.000000
220.541157	27.606277	164.000000
219.670337	27.509519	166.000000
218.573750	27.186994	168.000000
217.864193	27.509519	170.000000
217.283647	27.090236	172.000000
216.348322	27.703035	174.000000
215.542008	27.606277	176.000000
214.606683	27.606277	178.000000
214.058390	27.638530	180.000000
212.929550	27.541772	182.000000
212.929550	27.348256	184.000000
213.929379	27.509519	186.000000
214.058390	27.767540	188.000000
214.251905	27.445014	190.000000
214.090642	27.445014	192.000000
214.413168	27.348256	194.000000
213.993885	26.993478	196.000000
214.026137	27.638530	198.000000
214.122895	27.445014	200.000000
214.122895	27.703035	202.000000
214.413168	27.090236	204.000000
213.735864	27.090236	206.000000
213.574601	27.477267	208.000000
213.961632	27.186994	210.000000
213.510096	27.638530	212.000000
213.477844	27.219246	214.000000
213.671359	27.154741	216.000000
213.477844	26.928973	218.000000
213.445591	27.606277	220.000000
213.477844	27.767540	222.000000
213.090813	26.928973	224.000000
213.155318	27.445014	226.000000
212.897297	27.380509	228.000000
213.348833	27.412762	230.000000
212.865045	27.122488	232.000000
212.736034	27.574024	234.000000
212.703782	27.477267	236.000000
212.574772	27.090236	238.000000
212.284498	27.767540	240.000000
212.284498	26.896720	242.000000
212.542519	27.316004	244.000000
212.058730	27.638530	246.000000
211.639447	27.735287	248.000000
211.671700	27.541772	250.000000
211.929720	27.896550	252.000000
211.381426	27.961055	254.000000
211.381426	27.348256	256.000000
211.768457	27.541772	258.000000
211.607194	27.219246	260.000000
211.703952	27.541772	262.000000
211.445932	26.864468	264.000000
211.445932	27.380509	266.000000
211.316921	27.477267	268.000000
211.252416	27.477267	270.000000
210.671870	26.864468	272.000000
211.284669	27.541772	274.000000
211.284669	28.025560	276.000000
210.736375	27.316004	278.000000
211.058901	26.928973	280.000000
