*
Temp0 deg C	Temp1 deg C	Time (sec)
28.934019	348.660865	2.000000
29.642305	347.823800	4.000000
29.127188	345.473577	6.000000
28.837434	342.994575	8.000000
28.869629	341.095080	10.000000
29.062798	338.873637	12.000000
29.094993	337.231701	14.000000
28.612070	335.235621	16.000000
29.127188	332.981983	18.000000
29.094993	331.307852	20.000000
28.418901	329.987864	22.000000
28.612070	328.088369	24.000000
28.644265	326.285459	26.000000
28.837434	324.514743	28.000000
29.513526	323.065976	30.000000
28.934019	321.649404	32.000000
29.191577	319.846493	34.000000
28.998408	318.719674	36.000000
29.320357	317.109933	38.000000
28.805239	315.242633	40.000000
28.579876	313.987034	42.000000
28.547681	312.634851	44.000000
28.805239	310.735357	46.000000
28.998408	309.898291	48.000000
28.966213	308.030991	50.000000
28.901824	306.711003	52.000000
28.934019	305.133456	54.000000
28.579876	303.942248	56.000000
28.869629	302.461286	58.000000
29.352551	301.076908	60.000000
29.062798	299.789115	62.000000
28.998408	298.662296	64.000000
29.159382	297.084749	66.000000
29.416941	295.990125	68.000000
29.191577	294.315994	70.000000
29.094993	293.028201	72.000000
29.352551	291.997966	74.000000
28.773045	290.677978	76.000000
29.320357	289.776523	78.000000
29.352551	288.134587	80.000000
29.223772	286.814599	82.000000
29.191577	285.526805	84.000000
28.676460	284.432181	86.000000
29.062798	283.627311	88.000000
28.966213	282.339517	90.000000
29.223772	281.083919	92.000000
28.934019	280.279048	94.000000
29.255967	278.959060	96.000000
28.966213	277.606878	98.000000
29.223772	276.415669	100.000000
29.352551	275.127876	102.000000
28.740850	273.904472	104.000000
29.094993	273.067407	106.000000
29.642305	271.811808	108.000000
29.127188	271.103522	110.000000
28.934019	269.751339	112.000000
28.676460	268.656715	114.000000
28.998408	267.658675	116.000000
29.642305	266.628441	118.000000
29.094993	265.823570	120.000000
29.255967	264.761141	122.000000
29.545720	263.215789	124.000000
29.481331	262.314334	126.000000
29.191577	261.509463	128.000000
29.481331	261.058735	130.000000
29.127188	259.674358	132.000000
29.416941	258.708513	134.000000
28.869629	257.517304	136.000000
29.030603	256.969992	138.000000
29.416941	255.360251	140.000000
29.320357	254.426601	142.000000
29.191577	253.557340	144.000000
29.513526	252.559301	146.000000
29.255967	252.044183	148.000000
29.352551	250.885170	150.000000
29.030603	250.048104	152.000000
28.966213	248.889090	154.000000
29.288162	247.923245	156.000000
29.320357	247.343738	158.000000
29.481331	246.055945	160.000000
29.159382	245.573023	162.000000
29.288162	244.381814	164.000000
29.481331	243.576943	166.000000
29.094993	242.482319	168.000000
28.901824	241.709643	170.000000
29.416941	240.775993	172.000000
29.352551	240.003317	174.000000
29.352551	238.908693	176.000000
28.869629	238.393576	178.000000
28.773045	237.363341	180.000000
29.481331	236.526276	182.000000
29.127188	235.946769	184.000000
29.030603	234.948729	186.000000
29.094993	234.304833	188.000000
29.094993	233.274598	190.000000
29.352551	232.662896	192.000000
29.288162	231.986805	194.000000
28.934019	230.892181	196.000000
28.644265	229.958531	198.000000
29.255967	229.861946	200.000000
29.159382	229.057075	202.000000
29.223772	227.930256	204.000000
28.998408	227.318555	206.000000
29.127188	226.384905	208.000000
28.676460	225.612229	210.000000
29.513526	225.097112	212.000000
29.030603	224.227851	214.000000
28.740850	223.390786	216.000000
28.869629	222.553720	218.000000
28.612070	221.877629	220.000000
29.384746	221.008368	222.000000
28.740850	220.911784	224.000000
28.644265	219.430822	226.000000
29.030603	219.044484	228.000000
29.030603	218.014249	230.000000
28.644265	217.499132	232.000000
28.901824	216.951820	234.000000
29.030603	215.921585	236.000000
28.740850	215.503052	238.000000
28.644265	215.084520	240.000000
28.515486	214.311844	242.000000
28.547681	213.732337	244.000000
29.159382	212.605518	246.000000
28.483291	212.251375	248.000000
28.966213	211.639673	250.000000
28.869629	210.931387	252.000000
28.966213	210.287490	254.000000
28.805239	209.353840	256.000000
