*
Temp0 deg C	Temp1 deg C	Time (sec)
302.785213	26.348427	2.000000
303.494769	26.412932	4.000000
302.591697	26.348427	6.000000
300.785553	26.477437	8.000000
298.818146	26.799963	10.000000
297.334528	26.961226	12.000000
295.592889	26.283922	14.000000
293.722240	26.283922	16.000000
292.722410	26.993478	18.000000
290.690498	26.606447	20.000000
289.400396	26.961226	22.000000
287.949030	26.541942	24.000000
286.465412	26.799963	26.000000
284.498005	26.993478	28.000000
283.111144	26.703205	30.000000
281.272748	26.606447	32.000000
280.756707	26.799963	34.000000
279.047320	26.445184	36.000000
278.015238	26.058154	38.000000
276.467115	26.864468	40.000000
275.080254	26.477437	42.000000
273.661141	25.896891	44.000000
272.177523	26.283922	46.000000
270.758410	26.445184	48.000000
269.532812	26.864468	50.000000
268.468477	26.348427	52.000000
266.791343	26.509690	54.000000
265.920524	27.186994	56.000000
264.404653	26.638700	58.000000
263.372571	26.412932	60.000000
262.179226	26.864468	62.000000
261.082638	26.380679	64.000000
259.502262	26.477437	66.000000
258.663695	26.574195	68.000000
257.438098	26.348427	70.000000
255.567449	26.606447	72.000000
254.309598	26.638700	74.000000
253.406526	26.380679	76.000000
252.729222	26.122659	78.000000
251.277857	27.090236	80.000000
250.471542	26.928973	82.000000
249.116934	26.380679	84.000000
248.084852	26.477437	86.000000
247.052770	26.219416	88.000000
246.310961	27.025731	90.000000
244.956353	26.122659	92.000000
243.666250	26.670952	94.000000
243.053451	26.477437	96.000000
241.827853	26.670952	98.000000
240.924781	26.896720	100.000000
239.795941	25.993648	102.000000
238.925122	26.541942	104.000000
237.667272	26.638700	106.000000
236.764200	26.832215	108.000000
235.957885	26.703205	110.000000
235.087066	26.477437	112.000000
233.732458	27.703035	114.000000
233.248670	26.122659	116.000000
232.055324	27.638530	118.000000
230.958737	26.735458	120.000000
230.216928	26.606447	122.000000
229.184846	26.799963	124.000000
228.185016	26.703205	126.000000
227.668975	26.993478	128.000000
226.507882	26.703205	130.000000
225.701568	26.122659	132.000000
224.669486	27.025731	134.000000
223.959929	26.445184	136.000000
223.250373	27.186994	138.000000
221.766754	27.219246	140.000000
220.799177	26.606447	142.000000
220.412146	26.348427	144.000000
219.315559	26.993478	146.000000
218.735013	26.477437	148.000000
217.993203	26.574195	150.000000
216.767606	26.832215	152.000000
216.445080	26.928973	154.000000
214.542178	26.638700	156.000000
214.251905	26.799963	158.000000
214.058390	26.767710	160.000000
212.639277	26.896720	162.000000
211.607194	26.767710	164.000000
211.155658	26.025901	166.000000
210.349344	26.251669	168.000000
209.543030	27.154741	170.000000
208.446442	26.412932	172.000000
208.059412	26.541942	174.000000
207.478865	26.670952	176.000000
206.737056	26.832215	178.000000
205.414701	26.541942	180.000000
204.963165	26.316174	182.000000
204.318113	25.993648	184.000000
203.544052	26.477437	186.000000
202.350707	27.186994	188.000000
