[N01-D-PMMA-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
97,6.940000,1135.225854,3.672107,7.298491,3.703309,194.870041
98,6.960000,1155.941654,3.756916,7.372523,3.699811,195.573416
99,6.980000,1164.227974,3.842716,7.446483,3.696266,195.854766
100,7.000000,1187.015354,3.929582,7.520373,3.692671,196.628479
101,7.020000,1199.444834,4.017662,7.594190,3.689019,197.050504
102,7.040000,1226.375375,4.107106,7.667933,3.685304,197.964891
103,7.060000,1253.305915,4.198442,7.741601,3.681502,198.879279
104,7.080000,1278.164875,4.291588,7.815192,3.677616,199.723329
105,7.100000,1280.236455,4.385626,7.888705,3.673687,199.793666
106,7.120000,1303.023836,4.480475,7.962139,3.669718,200.567379
107,7.140000,1325.811216,4.576893,8.035493,3.665676,201.341091
108,7.160000,1348.598596,4.674872,8.108765,3.661560,202.114804
109,7.180000,1363.099656,4.774106,8.181955,3.657383,202.607166
110,7.200000,1369.314397,4.873983,8.255060,3.653174,202.818179
111,7.220000,1400.388097,4.975105,8.328081,3.648904,203.873241
112,7.240000,1423.175477,5.078072,8.401016,3.644548,204.646954
113,7.260000,1439.748117,5.182349,8.473863,3.640128,205.209654
114,7.280000,1450.106017,5.287479,8.546620,3.635664,205.561341
115,7.300000,1474.964978,5.393758,8.619289,3.631144,206.405391
116,7.320000,1499.823938,5.501708,8.691865,3.626544,207.249441
117,7.340000,1522.611318,5.611247,8.764349,3.621866,208.023154
118,7.360000,1545.398699,5.722293,8.836739,3.617116,208.796866
119,7.380000,1561.971339,5.834615,8.909033,3.612302,209.359566
120,7.400000,1599.259779,5.948729,8.981231,3.607401,210.625641
121,7.420000,1603.402939,6.064183,9.053329,3.602433,210.766316
122,7.440000,1636.548220,6.180817,9.125327,3.597405,211.891716
123,7.460000,1665.550340,6.299522,9.197224,3.592277,212.876441
124,7.480000,1684.194560,6.419766,9.269018,3.587072,213.509479
125,7.500000,1706.981941,6.541320,9.340706,3.581800,214.283191
126,7.520000,1729.769321,6.664325,9.412289,3.576455,215.056904
127,7.540000,1742.198801,6.788405,9.483764,3.571053,215.478929
128,7.560000,1771.200921,6.913773,9.555130,3.565584,216.463654
129,7.580000,1783.630402,7.040425,9.626387,3.560048,216.885679
130,7.600000,1816.775682,7.168499,9.697531,3.554439,218.011079
131,7.620000,1839.563062,7.298357,9.768563,3.548740,218.784791
132,7.640000,1860.278862,7.429547,9.839480,3.542971,219.488166
133,7.660000,1878.923083,7.561916,9.910281,3.537138,220.121204
134,7.680000,1920.354683,7.696188,9.980965,3.531208,221.527954
135,7.700000,1930.712583,7.832061,10.051529,3.525195,221.879641
136,7.720000,1949.356804,7.968723,10.121972,3.519135,222.512679
137,7.740000,1972.144184,8.106605,10.192294,3.513008,223.286391
138,7.760000,1992.859984,8.245773,10.262492,3.506811,223.989766
