[N02-B-2024-T4-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
95,0.188000,6989.980352,3.846605,0.708767,3.725568,63.699302
96,0.190000,6863.099520,3.898208,0.716217,3.724504,62.574821
97,0.192000,6762.171586,3.948948,0.723665,3.723457,61.680347
98,0.194000,6701.614826,3.999073,0.731111,3.722423,61.143663
99,0.196000,6615.105168,4.048637,0.738555,3.721400,60.376971
100,0.198000,6436.318542,4.097200,0.745997,3.720399,58.792475
101,0.200000,6194.091500,4.144184,0.753437,3.719430,56.645738
102,0.202000,6009.537563,4.189569,0.760875,3.718494,55.010129
103,0.204000,5986.468321,4.234171,0.768311,3.717575,54.805678
104,0.206000,6136.418395,4.279233,0.775745,3.716646,56.134611
105,0.208000,6257.531916,4.325291,0.783177,3.715696,57.207979
106,0.210000,6222.928053,4.371658,0.790608,3.714739,56.901302
107,0.212000,6032.606805,4.417179,0.798036,3.713799,55.214580
108,0.214000,5787.496108,4.461071,0.805463,3.712894,53.042287
109,0.216000,5530.850790,4.503090,0.812888,3.712027,50.767769
110,0.218000,5346.296853,4.543462,0.820311,3.711196,49.132160
111,0.220000,5274.205472,4.582873,0.827733,3.710384,48.493250
112,0.222000,5285.740093,4.622050,0.835153,3.709577,48.595475
113,0.224000,5317.460301,4.661379,0.842571,3.708767,48.876596
114,0.226000,5285.740093,4.700699,0.849988,3.707957,48.595475
115,0.228000,5190.579469,4.739541,0.857403,3.707157,47.752115
116,0.230000,5153.091951,4.777882,0.864816,3.706367,47.419882
117,0.232000,5190.579469,4.816216,0.872228,3.705577,47.752115
118,0.234000,5282.856438,4.855022,0.879639,3.704777,48.569919
119,0.236000,5340.529543,4.894375,0.887047,3.703965,49.081047
120,0.238000,5305.925680,4.933804,0.894454,3.703152,48.774370
121,0.240000,5242.485264,4.972863,0.901860,3.702346,48.212130
122,0.242000,5161.742917,5.011378,0.909264,3.701551,47.496551
123,0.244000,5130.022709,5.049470,0.916666,3.700765,47.215430
124,0.246000,5173.277538,5.087596,0.924067,3.699979,47.598776
125,0.248000,5288.623748,5.126301,0.931466,3.699180,48.621032
126,0.250000,5438.573822,5.165978,0.938864,3.698360,49.949964
127,0.252000,5562.570998,5.206659,0.946259,3.697518,51.048889
128,0.254000,5637.546035,5.248067,0.953654,3.696661,51.713355
129,0.256000,5692.335485,5.289945,0.961046,3.695794,52.198926
130,0.258000,5790.379763,5.332378,0.968437,3.694915,53.067844
131,0.260000,5937.446182,5.375706,0.975826,3.694017,54.371220
132,0.262000,6035.490461,5.419928,0.983213,3.693100,55.240137
133,0.264000,6058.559703,5.464587,0.990598,3.692173,55.444588
134,0.266000,6000.886598,5.509107,0.997982,3.691249,54.933460
135,0.268000,5902.842319,5.553042,1.005363,3.690337,54.064543
136,0.270000,5801.914385,5.596231,1.012743,3.689440,53.170069
137,0.272000,5686.568174,5.638612,1.020121,3.688561,52.147814
138,0.274000,5574.105619,5.680143,1.027497,3.687699,51.151114
139,0.276000,5481.828651,5.720909,1.034872,3.686854,50.333310
140,0.278000,5366.482440,5.760901,1.042245,3.686024,49.311054
141,0.280000,5179.044848,5.799768,1.049616,3.685219,47.649889
142,0.282000,4945.468772,5.837075,1.056985,3.684446,45.579821
143,0.284000,4706.125386,5.872632,1.064354,3.683710,43.458641
144,0.286000,4527.338759,5.906642,1.071720,3.683007,41.874145
145,0.288000,4435.061791,5.939648,1.079086,3.682325,41.056340
146,0.290000,4440.829102,5.972329,1.086450,3.681650,41.107453
147,0.292000,4452.363723,6.005068,1.093812,3.680974,41.209679
148,0.294000,4417.759859,6.037715,1.101174,3.680299,40.903002
149,0.296000,4371.621375,6.070060,1.108533,3.679631,40.494100
150,0.298000,4316.831925,6.102027,1.115892,3.678971,40.008528
151,0.300000,4273.577096,6.133628,1.123249,3.678318,39.625183
152,0.302000,4236.089578,6.164927,1.130605,3.677672,39.292950
153,0.304000,4210.136681,6.195987,1.137960,3.677030,39.062942
154,0.306000,4172.649162,6.226808,1.145313,3.676394,38.730709
155,0.308000,4051.535641,6.257041,1.152666,3.675770,37.657341
156,0.310000,3838.145152,6.286039,1.160017,3.675172,35.766168
157,0.312000,3604.569076,6.313390,1.167366,3.674609,33.696100
158,0.314000,3454.619002,6.339328,1.174715,3.674077,32.367168
159,0.316000,3437.317071,6.364648,1.182063,3.673557,32.213830
160,0.318000,3523.826729,6.390218,1.189409,3.673032,32.980521
161,0.320000,3644.940250,6.416547,1.196755,3.672490,34.053890
162,0.322000,3748.751839,6.443698,1.204099,3.671931,34.973920
163,0.324000,3786.239357,6.471364,1.211443,3.671361,35.306153
164,0.326000,3766.053771,6.499089,1.218785,3.670790,35.127258
165,0.328000,3705.497010,6.526514,1.226126,3.670225,34.590574
166,0.330000,3711.264321,6.553733,1.233466,3.669664,34.641687
167,0.332000,3792.006668,6.581265,1.240804,3.669096,35.357266
168,0.334000,3841.028807,6.609269,1.248142,3.668518,35.791724
169,0.336000,3792.006668,6.637269,1.255478,3.667941,35.357266
170,0.338000,3630.521973,6.664492,1.262814,3.667379,33.926108
171,0.340000,3451.735347,6.690464,1.270148,3.666845,32.341611
172,0.342000,3339.272792,6.715364,1.277481,3.666333,31.344912
173,0.344000,3278.716032,6.739626,1.284813,3.665835,30.808228
174,0.346000,3252.763134,6.763568,1.292144,3.665343,30.578221
175,0.348000,3195.090029,6.787200,1.299475,3.664858,30.067093
176,0.350000,3062.441887,6.810131,1.306804,3.664388,28.891499
177,0.352000,2820.214845,6.831686,1.314132,3.663947,26.744762
178,0.354000,2575.104148,6.851453,1.321460,3.663545,24.572469
179,0.356000,2347.295382,6.869486,1.328786,3.663179,22.553514
180,0.358000,2185.810688,6.886091,1.336112,3.662844,21.122356
181,0.360000,2107.951996,6.901817,1.343438,3.662527,20.432334
182,0.362000,2035.860614,6.916994,1.350763,3.662223,19.793424
183,0.364000,1920.514404,6.931482,1.358087,3.661933,18.771168
184,0.366000,1796.517228,6.945093,1.365410,3.661661,17.672244
185,0.368000,1712.891225,6.957943,1.372733,3.661406,16.931108
186,0.370000,1698.472949,6.970433,1.380056,3.661159,16.803326
187,0.372000,1735.960467,6.983007,1.387378,3.660910,17.135559
188,0.374000,1770.564330,6.995843,1.394700,3.660655,17.442236
189,0.376000,1773.447986,7.008816,1.402021,3.660397,17.467793
190,0.378000,1799.400883,7.021894,1.409341,3.660137,17.697800
191,0.380000,1799.400883,7.035065,1.416661,3.659875,17.697800
192,0.382000,1764.797020,7.048110,1.423981,3.659616,17.391123
193,0.384000,1718.658536,7.060857,1.431300,3.659363,16.982221
194,0.386000,1718.658536,7.073435,1.438618,3.659114,16.982221
195,0.388000,1747.495088,7.086118,1.445936,3.658862,17.237785
196,0.390000,1793.633572,7.099074,1.453254,3.658604,17.646687
197,0.392000,1854.190333,7.112419,1.460571,3.658339,18.183371
198,0.394000,1874.375920,7.126059,1.467887,3.658066,18.362266
199,0.396000,1963.769233,7.140099,1.475203,3.657786,19.154514
200,0.398000,2035.860614,7.154728,1.482518,3.657492,19.793424
201,0.400000,2090.650064,7.169820,1.489833,3.657189,20.278995
202,0.402000,2145.439514,7.185311,1.497147,3.656877,20.764567
203,0.404000,2217.530896,7.201266,1.504460,3.656555,21.403477
204,0.406000,2312.691519,7.217830,1.511773,3.656220,22.246837
205,0.408000,2367.480969,7.234941,1.519085,3.655874,22.732409
206,0.410000,2367.480969,7.252250,1.526397,3.655523,22.732409
207,0.412000,2376.131935,7.269590,1.533707,3.655171,22.809078
208,0.414000,2407.852143,7.287075,1.541017,3.654816,23.090198
209,0.416000,2451.106972,7.304833,1.548326,3.654456,23.473544
210,0.418000,2462.641593,7.322789,1.555635,3.654091,23.575770
211,0.420000,2425.154074,7.340649,1.562943,3.653728,23.243537
212,0.422000,2353.062693,7.358106,1.570250,3.653373,22.604627
213,0.424000,2240.600138,7.374888,1.577556,3.653034,21.607928
214,0.426000,2110.835651,7.390783,1.584862,3.652713,20.457890
215,0.428000,1952.234612,7.405624,1.592167,3.652414,19.052289
216,0.430000,1810.935504,7.419368,1.599472,3.652139,17.800026
217,0.432000,1698.472949,7.432184,1.606776,3.651884,16.803326
218,0.434000,1594.661359,7.444210,1.614079,3.651646,15.883296
219,0.436000,1482.198804,7.455445,1.621382,3.651425,14.886597
220,0.438000,1398.572802,7.465964,1.628685,3.651219,14.145462
221,0.440000,1384.154525,7.476124,1.635987,3.651021,14.017680
222,0.442000,1444.711286,7.486452,1.643289,3.650819,14.554364
223,0.444000,1539.871909,7.497348,1.650591,3.650605,15.397725
224,0.446000,1597.545015,7.508801,1.657892,3.650379,15.908853
225,0.448000,1611.963291,7.520517,1.665192,3.650148,16.036635
226,0.450000,1620.614257,7.532316,1.672492,3.649915,16.113304
227,0.452000,1643.683499,7.544230,1.679792,3.649679,16.317755
228,0.454000,1672.520051,7.556332,1.687091,3.649439,16.573319
229,0.456000,1721.542191,7.568718,1.694389,3.649193,17.007778
230,0.458000,1779.215296,7.581493,1.701688,3.648938,17.518905
231,0.460000,1822.470125,7.594635,1.708985,3.648676,17.902251
232,0.462000,1842.655712,7.608007,1.716282,3.648409,18.081146
233,0.464000,1834.004746,7.621420,1.723579,3.648141,18.004477
234,0.466000,1908.979783,7.635075,1.730875,3.647868,18.668943
235,0.468000,2047.395235,7.649507,1.738170,3.647578,19.895650
236,0.470000,2217.530896,7.665063,1.745465,3.647263,21.403477
237,0.472000,2329.993451,7.681648,1.752759,3.646927,22.400176
238,0.474000,2355.946348,7.698736,1.760053,3.646580,22.630183
239,0.476000,2347.295382,7.715886,1.767346,3.646232,22.553514
240,0.478000,2353.062693,7.733024,1.774638,3.645883,22.604627
241,0.480000,2425.154074,7.750444,1.781929,3.645529,23.243537
242,0.482000,2514.547388,7.768451,1.789220,3.645162,24.035785
243,0.484000,2589.522424,7.787055,1.796510,3.644782,24.700251
244,0.486000,2583.755114,7.805909,1.803799,3.644397,24.649138
245,0.488000,2543.383940,7.824594,1.811087,3.644015,24.291349
246,0.490000,2465.525248,7.842845,1.818375,3.643643,23.601326
247,0.492000,2387.666556,7.860528,1.825662,3.643283,22.911304
248,0.494000,2355.946348,7.877809,1.832948,3.642931,22.630183
249,0.496000,2338.644417,7.894911,1.840234,3.642583,22.476845
250,0.498000,2272.320346,7.911706,1.847519,3.642242,21.889048
251,0.500000,2125.253927,7.927722,1.854803,3.641918,20.585672
252,0.502000,1906.096128,7.942403,1.862086,3.641622,18.643386
253,0.504000,1689.821983,7.955498,1.869369,3.641360,16.726657
254,0.506000,1542.755565,7.967268,1.876652,3.641126,15.423281
255,0.508000,1473.547838,7.978251,1.883934,3.640910,14.809928
256,0.510000,1418.758389,7.988781,1.891215,3.640703,14.324357
257,0.512000,1372.619904,7.998944,1.898497,3.640504,13.915454
258,0.514000,1340.899696,8.008822,1.905777,3.640312,13.634334
259,0.516000,1300.528523,8.018437,1.913058,3.640125,13.276545
260,0.518000,1257.273694,8.027748,1.920338,3.639944,12.893199
261,0.520000,1228.437141,8.036795,1.927618,3.639769,12.637635
262,0.522000,1263.041004,8.045864,1.934897,3.639594,12.944312
263,0.524000,1317.830454,8.055257,1.942176,3.639411,13.429883
264,0.526000,1323.597765,8.064870,1.949455,3.639224,13.480996
265,0.528000,1263.041004,8.074283,1.956733,3.639041,12.944312
266,0.530000,1196.716933,8.083234,1.964011,3.638869,12.356515
267,0.532000,1136.160173,8.091723,1.971288,3.638706,11.819830
268,0.534000,1144.811139,8.100022,1.978566,3.638547,11.896500
269,0.536000,1199.600589,8.108552,1.985843,3.638383,12.382071
270,0.538000,1237.088107,8.117418,1.993119,3.638212,12.714304
271,0.540000,1303.412178,8.126660,2.000395,3.638033,13.302101
272,0.542000,1343.783352,8.136291,2.007671,3.637845,13.659890
273,0.544000,1343.783352,8.146067,2.014947,3.637654,13.659890
274,0.546000,1320.714110,8.155760,2.022222,3.637465,13.455439
275,0.548000,1280.342936,8.165221,2.029497,3.637281,13.097650
276,0.550000,1294.761212,8.174587,2.036771,3.637100,13.225432
277,0.552000,1358.201628,8.184236,2.044045,3.636912,13.787672
278,0.554000,1392.805491,8.194240,2.051319,3.636716,14.094349
279,0.556000,1352.434318,8.204224,2.058592,3.636521,13.736560
280,0.558000,1286.110247,8.213819,2.065865,3.636334,13.148763
281,0.560000,1216.902520,8.222920,2.073137,3.636157,12.535409
282,0.562000,1153.462105,8.231539,2.080409,3.635992,11.973169
283,0.564000,1144.811139,8.239895,2.087681,3.635831,11.896500
284,0.566000,1141.927484,8.248209,2.094953,3.635672,11.870943
285,0.568000,1118.858241,8.256429,2.102224,3.635515,11.666492
