[NO1-A-1045HR-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
105,-3.476000,-201.462486,-1.719301
106,-3.474000,-189.867522,-1.620348
107,-3.472000,-186.968782,-1.595610
108,-3.470000,-181.171300,-1.546134
109,-3.468000,-195.665004,-1.669824
110,-3.466000,-198.563745,-1.694562
111,-3.464000,-207.259967,-1.768777
112,-3.462000,-207.259967,-1.768777
113,-3.460000,-198.563745,-1.694562
114,-3.458000,-207.259967,-1.768777
115,-3.456000,-210.158708,-1.793515
116,-3.454000,-207.259967,-1.768777
117,-3.452000,-192.766263,-1.645086
118,-3.450000,-198.563745,-1.694562
119,-3.448000,-204.361226,-1.744039
120,-3.446000,-213.057449,-1.818253
121,-3.444000,-218.854930,-1.867729
122,-3.442000,-207.259967,-1.768777
123,-3.440000,-198.563745,-1.694562
124,-3.438000,-198.563745,-1.694562
125,-3.436000,-189.867522,-1.620348
126,-3.434000,-192.766263,-1.645086
127,-3.432000,-198.563745,-1.694562
128,-3.430000,-195.665004,-1.669824
129,-3.428000,-204.361226,-1.744039
130,-3.426000,-198.563745,-1.694562
131,-3.424000,-198.563745,-1.694562
132,-3.422000,-201.462486,-1.719301
133,-3.420000,-198.563745,-1.694562
134,-3.418000,-195.665004,-1.669824
135,-3.416000,-189.867522,-1.620348
136,-3.414000,-178.272559,-1.521395
137,-3.412000,-204.361226,-1.744039
138,-3.410000,-204.361226,-1.744039
139,-3.408000,-215.956190,-1.842991
140,-3.406000,-207.259967,-1.768777
141,-3.404000,-213.057449,-1.818253
142,-3.402000,-198.563745,-1.694562
143,-3.400000,-201.462486,-1.719301
144,-3.398000,-181.171300,-1.546134
145,-3.396000,-186.968782,-1.595610
146,-3.394000,-181.171300,-1.546134
147,-3.392000,-198.563745,-1.694562
148,-3.390000,-213.057449,-1.818253
149,-3.388000,-221.753671,-1.892468
150,-3.386000,-221.753671,-1.892468
151,-3.384000,-204.361226,-1.744039
152,-3.382000,-189.867522,-1.620348
153,-3.380000,-172.475078,-1.471919
154,-3.378000,-178.272559,-1.521395
155,-3.376000,-189.867522,-1.620348
156,-3.374000,-195.665004,-1.669824
157,-3.372000,-221.753671,-1.892468
158,-3.370000,-221.753671,-1.892468
159,-3.368000,-210.158708,-1.793515
