[N01-D-PMMA-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
97,6.920000,350.097024,2.889514,7.335466,3.758455,166.102004
98,6.940000,333.524384,2.915204,7.410626,3.757549,165.539304
99,6.960000,298.307524,2.938943,7.485769,3.756726,164.343567
100,6.980000,132.581122,2.955130,7.560898,3.756228,158.716567
101,7.000000,-60.075821,2.957853,7.636023,3.756307,152.175179

[Raw Data]

Point ID,Time [ms],Force [N],Voltage Ch1 [mV]
1,0.000000,4541.939205,154.214967
2,0.020000,4521.223405,153.511592
3,0.040000,4531.581305,153.863279
4,0.060000,4515.008665,153.300579
5,0.080000,4525.366565,153.652267
6,0.100000,4525.366565,153.652267
7,0.120000,4519.151825,153.441254
8,0.140000,4523.294985,153.581929
9,0.160000,4517.080245,153.370917
10,0.180000,4515.008665,153.300579
11,0.200000,4533.652885,153.933617
12,0.220000,4525.366565,153.652267
13,0.240000,4541.939205,154.214967
14,0.260000,4529.509725,153.792942
15,0.280000,4521.223405,153.511592
16,0.300000,4525.366565,153.652267
17,0.320000,4517.080245,153.370917
18,0.340000,4527.438145,153.722604
19,0.360000,4515.008665,153.300579
20,0.380000,4521.223405,153.511592
21,0.400000,4533.652885,153.933617
22,0.420000,4531.581305,153.863279
23,0.440000,4529.509725,153.792942
24,0.460000,4525.366565,153.652267
25,0.480000,4525.366565,153.652267
26,0.500000,4529.509725,153.792942
27,0.520000,4535.724465,154.003954
28,0.540000,4523.294985,153.581929
29,0.560000,4525.366565,153.652267
30,0.580000,4527.438145,153.722604
31,0.600000,4519.151825,153.441254
32,0.620000,4527.438145,153.722604
33,0.640000,4529.509725,153.792942
34,0.660000,4521.223405,153.511592
35,0.680000,4525.366565,153.652267
36,0.700000,4521.223405,153.511592
37,0.720000,4521.223405,153.511592
38,0.740000,4525.366565,153.652267
39,0.760000,4527.438145,153.722604
40,0.780000,4523.294985,153.581929
41,0.800000,4523.294985,153.581929
42,0.820000,4519.151825,153.441254
43,0.840000,4527.438145,153.722604
44,0.860000,4525.366565,153.652267
45,0.880000,4510.865505,153.159904
46,0.900000,4535.724465,154.003954
47,0.920000,4519.151825,153.441254
48,0.940000,4531.581305,153.863279
49,0.960000,4515.008665,153.300579
50,0.980000,4525.366565,153.652267
51,1.000000,4529.509725,153.792942
52,1.020000,4519.151825,153.441254
53,1.040000,4523.294985,153.581929
54,1.060000,4523.294985,153.581929
55,1.080000,4535.724465,154.003954
56,1.100000,4529.509725,153.792942
57,1.120000,4527.438145,153.722604
58,1.140000,4525.366565,153.652267
59,1.160000,4527.438145,153.722604
60,1.180000,4519.151825,153.441254
61,1.200000,4531.581305,153.863279
62,1.220000,4515.008665,153.300579
63,1.240000,4531.581305,153.863279
64,1.260000,4519.151825,153.441254
65,1.280000,4523.294985,153.581929
66,1.300000,4523.294985,153.581929
67,1.320000,4517.080245,153.370917
68,1.340000,4529.509725,153.792942
69,1.360000,4521.223405,153.511592
70,1.380000,4527.438145,153.722604
71,1.400000,4533.652885,153.933617
72,1.420000,4525.366565,153.652267
73,1.440000,4512.937085,153.230242
74,1.460000,4525.366565,153.652267
75,1.480000,4531.581305,153.863279
76,1.500000,4517.080245,153.370917
77,1.520000,4515.008665,153.300579
78,1.540000,4533.652885,153.933617
79,1.560000,4525.366565,153.652267
80,1.580000,4525.366565,153.652267
81,1.600000,4533.652885,153.933617
82,1.620000,4515.008665,153.300579
83,1.640000,4529.509725,153.792942
84,1.660000,4525.366565,153.652267
85,1.680000,4525.366565,153.652267
86,1.700000,4529.509725,153.792942
87,1.720000,4531.581305,153.863279
88,1.740000,4521.223405,153.511592
89,1.760000,4521.223405,153.511592
90,1.780000,4519.151825,153.441254
91,1.800000,4531.581305,153.863279
92,1.820000,4529.509725,153.792942
93,1.840000,4535.724465,154.003954
94,1.860000,4531.581305,153.863279
95,1.880000,4525.366565,153.652267
96,1.900000,4529.509725,153.792942
97,1.920000,4515.008665,153.300579
98,1.940000,4539.867625,154.144629
99,1.960000,4523.294985,153.581929
100,1.980000,4523.294985,153.581929
101,2.000000,4527.438145,153.722604
102,2.020000,4521.223405,153.511592
103,2.040000,4525.366565,153.652267
104,2.060000,4515.008665,153.300579
105,2.080000,4531.581305,153.863279
106,2.100000,4523.294985,153.581929
107,2.120000,4531.581305,153.863279
108,2.140000,4533.652885,153.933617
109,2.160000,4533.652885,153.933617
110,2.180000,4523.294985,153.581929
111,2.200000,4529.509725,153.792942
112,2.220000,4527.438145,153.722604
113,2.240000,4529.509725,153.792942
114,2.260000,4525.366565,153.652267
115,2.280000,4523.294985,153.581929
116,2.300000,4523.294985,153.581929
117,2.320000,4523.294985,153.581929
118,2.340000,4527.438145,153.722604
119,2.360000,4519.151825,153.441254
120,2.380000,4527.438145,153.722604
121,2.400000,4523.294985,153.581929
122,2.420000,4517.080245,153.370917
123,2.440000,4523.294985,153.581929
124,2.460000,4527.438145,153.722604
125,2.480000,4523.294985,153.581929
126,2.500000,4529.509725,153.792942
127,2.520000,4525.366565,153.652267
128,2.540000,4527.438145,153.722604
129,2.560000,4527.438145,153.722604
130,2.580000,4529.509725,153.792942
131,2.600000,4531.581305,153.863279
132,2.620000,4517.080245,153.370917
133,2.640000,4529.509725,153.792942
134,2.660000,4525.366565,153.652267
135,2.680000,4519.151825,153.441254
136,2.700000,4527.438145,153.722604
137,2.720000,4517.080245,153.370917
138,2.740000,4527.438145,153.722604
139,2.760000,4519.151825,153.441254
140,2.780000,4529.509725,153.792942
141,2.800000,4529.509725,153.792942
142,2.820000,4519.151825,153.441254
143,2.840000,4523.294985,153.581929
144,2.860000,4512.937085,153.230242
145,2.880000,4544.010785,154.285304
146,2.900000,4535.724465,154.003954
147,2.920000,4519.151825,153.441254
148,2.940000,4535.724465,154.003954
149,2.960000,4519.151825,153.441254
150,2.980000,4525.366565,153.652267
151,3.000000,4535.724465,154.003954
152,3.020000,4525.366565,153.652267
153,3.040000,4546.082365,154.355642
154,3.060000,4527.438145,153.722604
155,3.080000,4533.652885,153.933617
156,3.100000,4533.652885,153.933617
157,3.120000,4512.937085,153.230242
158,3.140000,4525.366565,153.652267
159,3.160000,4523.294985,153.581929
160,3.180000,4531.581305,153.863279
161,3.200000,4521.223405,153.511592
162,3.220000,4519.151825,153.441254
163,3.240000,4539.867625,154.144629
164,3.260000,4533.652885,153.933617
165,3.280000,4523.294985,153.581929
166,3.300000,4533.652885,153.933617
167,3.320000,4515.008665,153.300579
168,3.340000,4533.652885,153.933617
169,3.360000,4523.294985,153.581929
170,3.380000,4519.151825,153.441254
171,3.400000,4531.581305,153.863279
172,3.420000,4521.223405,153.511592
173,3.440000,4527.438145,153.722604
174,3.460000,4525.366565,153.652267
175,3.480000,4531.581305,153.863279
176,3.500000,4529.509725,153.792942
177,3.520000,4525.366565,153.652267
178,3.540000,4531.581305,153.863279
179,3.560000,4515.008665,153.300579
180,3.580000,4523.294985,153.581929
181,3.600000,4527.438145,153.722604
182,3.620000,4523.294985,153.581929
183,3.640000,4527.438145,153.722604
184,3.660000,4519.151825,153.441254
185,3.680000,4517.080245,153.370917
186,3.700000,4523.294985,153.581929
187,3.720000,4519.151825,153.441254
188,3.740000,4525.366565,153.652267
189,3.760000,4529.509725,153.792942
190,3.780000,4521.223405,153.511592
191,3.800000,4527.438145,153.722604
192,3.820000,4523.294985,153.581929
193,3.840000,4529.509725,153.792942
194,3.860000,4519.151825,153.441254
195,3.880000,4529.509725,153.792942
196,3.900000,4541.939205,154.214967
197,3.920000,4521.223405,153.511592
198,3.940000,4529.509725,153.792942
199,3.960000,4523.294985,153.581929
200,3.980000,4531.581305,153.863279
201,4.000000,4527.438145,153.722604
202,4.020000,4527.438145,153.722604
203,4.040000,4529.509725,153.792942
204,4.060000,4529.509725,153.792942
205,4.080000,4533.652885,153.933617
206,4.100000,4529.509725,153.792942
207,4.120000,4523.294985,153.581929
208,4.140000,4531.581305,153.863279
209,4.160000,4523.294985,153.581929
210,4.180000,4537.796045,154.074292
211,4.200000,4525.366565,153.652267
212,4.220000,4515.008665,153.300579
213,4.240000,4527.438145,153.722604
214,4.260000,4527.438145,153.722604
215,4.280000,4527.438145,153.722604
216,4.300000,4527.438145,153.722604
217,4.320000,4525.366565,153.652267
218,4.340000,4535.724465,154.003954
219,4.360000,4517.080245,153.370917
220,4.380000,4529.509725,153.792942
221,4.400000,4521.223405,153.511592
222,4.420000,4521.223405,153.511592
223,4.440000,4527.438145,153.722604
224,4.460000,4519.151825,153.441254
225,4.480000,4525.366565,153.652267
226,4.500000,4529.509725,153.792942
227,4.520000,4527.438145,153.722604
228,4.540000,4525.366565,153.652267
229,4.560000,4527.438145,153.722604
230,4.580000,4517.080245,153.370917
231,4.600000,4544.010785,154.285304
232,4.620000,4517.080245,153.370917
233,4.640000,4531.581305,153.863279
234,4.660000,4529.509725,153.792942
235,4.680000,4525.366565,153.652267
236,4.700000,4527.438145,153.722604
237,4.720000,4521.223405,153.511592
238,4.740000,4537.796045,154.074292
239,4.760000,4529.509725,153.792942
240,4.780000,4533.652885,153.933617
241,4.800000,4521.223405,153.511592
242,4.820000,4519.151825,153.441254
243,4.840000,4519.151825,153.441254
244,4.860000,4521.223405,153.511592
245,4.880000,4525.366565,153.652267
246,4.900000,4531.581305,153.863279
247,4.920000,4525.366565,153.652267
248,4.940000,4533.652885,153.933617
249,4.960000,4529.509725,153.792942
250,4.980000,4531.581305,153.863279
251,5.000000,4529.509725,153.792942
252,5.020000,4666.234007,158.435217
253,5.040000,4736.667727,160.826692
254,5.060000,4749.097208,161.248717
255,5.080000,4711.808767,159.982642
256,5.100000,4732.524567,160.686017
257,5.120000,4738.739308,160.897029
258,5.140000,4771.884588,162.022429
259,5.160000,4724.238247,160.404667
260,5.180000,4724.238247,160.404667
261,5.200000,4709.737187,159.912304
262,5.220000,4684.878227,159.068254
263,5.240000,4680.735067,158.927579
264,5.260000,4666.234007,158.435217
265,5.280000,4699.379287,159.560617
266,5.300000,4747.025628,161.178379
267,5.320000,4738.739308,160.897029
268,5.340000,4744.954048,161.108042
269,5.360000,4877.535169,165.609642
270,5.380000,4921.038350,167.086729
271,5.400000,5024.617351,170.603604
272,5.420000,5034.975251,170.955292
273,5.440000,5061.905791,171.869679
274,5.460000,5115.766872,173.698454
275,5.480000,5121.981612,173.909467
276,5.500000,5130.267932,174.190817
277,5.520000,5080.550012,172.502717
278,5.540000,5090.907912,172.854404
279,5.560000,5016.331031,170.322254
280,5.580000,5051.547891,171.517992
281,5.600000,5066.048951,172.010354
282,5.620000,5111.623712,173.557779
283,5.640000,4471.505484,151.823492
284,5.660000,4628.945566,157.169142
285,5.680000,4633.088726,157.309817
286,5.700000,4887.893069,165.961329
287,5.720000,4825.745669,163.851204
288,5.740000,4778.099328,162.233442
289,5.760000,5063.977371,171.940017
290,5.780000,4962.469950,168.493479
291,5.800000,5055.691051,171.658667
292,5.820000,4947.968890,168.001117
293,5.840000,4945.897310,167.930779
294,5.860000,4900.322549,166.383354
295,5.880000,4823.674089,163.780867
296,5.900000,4782.242488,162.374117
297,5.920000,4819.530929,163.640192
298,5.940000,4846.461469,164.554579
299,5.960000,4664.162427,158.364879
300,5.980000,4581.299226,155.551379
301,6.000000,4593.728706,155.973404
302,6.020000,4769.813008,161.952092
303,6.040000,4811.244608,163.358842
304,6.060000,4881.678329,165.750317
305,6.080000,4910.680450,166.735042
306,6.100000,4941.754150,167.790104
307,6.120000,5012.187871,170.181579
308,6.140000,5080.550012,172.502717
309,6.160000,5055.691051,171.658667
310,6.180000,5101.265812,173.206092
311,6.200000,5084.693172,172.643392
312,6.220000,5001.829971,169.829892
313,6.240000,4999.758391,169.759554
314,6.260000,4945.897310,167.930779
315,6.280000,4906.537290,166.594367
316,6.300000,4860.962529,165.046942
317,6.320000,4842.318309,164.413904
318,6.340000,4881.678329,165.750317
319,6.360000,4879.606749,165.679979
320,6.380000,4939.682570,167.719767
321,6.400000,4966.613110,168.634154
322,6.420000,5074.335272,172.291704
323,6.440000,5128.196352,174.120479
324,6.460000,5107.480552,173.417104
325,6.480000,5138.554252,174.472167
326,6.500000,5150.983733,174.894192
327,6.520000,5175.842693,175.738242
328,6.540000,5132.339512,174.261154
329,6.560000,5109.552132,173.487442
330,6.580000,5076.406852,172.362042
331,6.600000,5055.691051,171.658667
332,6.620000,5022.545771,170.533267
333,6.640000,5063.977371,171.940017
334,6.660000,5022.545771,170.533267
335,6.680000,5034.975251,170.955292
336,6.700000,5068.120532,172.080692
337,6.720000,5109.552132,173.487442
338,6.740000,5167.556373,175.456892
339,6.760000,5190.343753,176.230604
340,6.780000,5225.560613,177.426342
341,6.800000,5229.703773,177.567017
342,6.820000,5266.992214,178.833092
343,6.840000,5266.992214,178.833092
344,6.860000,5250.419574,178.270392
345,6.880000,5163.413213,175.316217
346,6.900000,4966.613110,168.634154
347,6.920000,4892.036229,166.102004
348,6.940000,4875.463589,165.539304
349,6.960000,4840.246729,164.343567
350,6.980000,4674.520327,158.716567
351,7.000000,4481.863384,152.175179
352,7.020000,4550.225525,154.496317
353,7.040000,4537.796045,154.074292
354,7.060000,4533.652885,153.933617
355,7.080000,4525.366565,153.652267
356,7.100000,4525.366565,153.652267
357,7.120000,4502.579185,152.878554
358,7.140000,4558.511845,154.777667
359,7.160000,4546.082365,154.355642
360,7.180000,4492.221285,152.526867
361,7.200000,4512.937085,153.230242
362,7.220000,4527.438145,153.722604
363,7.240000,4573.012906,155.270029
364,7.260000,4473.577064,151.893829
365,7.280000,4583.370806,155.621717
366,7.300000,4535.724465,154.003954
367,7.320000,4527.438145,153.722604
368,7.340000,4510.865505,153.159904
369,7.360000,4498.436025,152.737879
370,7.380000,4546.082365,154.355642
371,7.400000,4490.149705,152.456529
372,7.420000,4585.442386,155.692054
373,7.440000,4496.364445,152.667542
374,7.460000,4525.366565,153.652267
375,7.480000,4523.294985,153.581929
376,7.500000,4548.153945,154.425979
377,7.520000,4562.655005,154.918342
378,7.540000,4504.650765,152.948892
379,7.560000,4535.724465,154.003954
380,7.580000,4488.078124,152.386192
381,7.600000,4562.655005,154.918342
382,7.620000,4544.010785,154.285304
383,7.640000,4525.366565,153.652267
384,7.660000,4486.006544,152.315854
385,7.680000,4519.151825,153.441254
386,7.700000,4533.652885,153.933617
387,7.720000,4508.793925,153.089567
388,7.740000,4533.652885,153.933617
389,7.760000,4512.937085,153.230242
390,7.780000,4539.867625,154.144629
391,7.800000,4519.151825,153.441254
392,7.820000,4558.511845,154.777667
393,7.840000,4529.509725,153.792942
394,7.860000,4525.366565,153.652267
395,7.880000,4533.652885,153.933617
396,7.900000,4523.294985,153.581929
397,7.920000,4533.652885,153.933617
398,7.940000,4517.080245,153.370917
399,7.960000,4527.438145,153.722604
400,7.980000,4502.579185,152.878554
401,8.000000,4546.082365,154.355642
402,8.020000,4546.082365,154.355642
403,8.040000,4568.869745,155.129354
404,8.060000,4546.082365,154.355642
405,8.080000,4529.509725,153.792942
406,8.100000,4550.225525,154.496317
407,8.120000,4535.724465,154.003954
408,8.140000,4544.010785,154.285304
409,8.160000,4531.581305,153.863279
410,8.180000,4533.652885,153.933617
411,8.200000,4498.436025,152.737879
412,8.220000,4510.865505,153.159904
413,8.240000,4525.366565,153.652267
414,8.260000,4502.579185,152.878554
415,8.280000,4510.865505,153.159904
416,8.300000,4521.223405,153.511592
417,8.320000,4512.937085,153.230242
418,8.340000,4537.796045,154.074292
419,8.360000,4548.153945,154.425979
420,8.380000,4539.867625,154.144629
421,8.400000,4544.010785,154.285304
422,8.420000,4531.581305,153.863279
423,8.440000,4541.939205,154.214967
424,8.460000,4519.151825,153.441254
425,8.480000,4531.581305,153.863279
426,8.500000,4537.796045,154.074292
427,8.520000,4508.793925,153.089567
428,8.540000,4506.722345,153.019229
429,8.560000,4525.366565,153.652267
430,8.580000,4525.366565,153.652267
431,8.600000,4533.652885,153.933617
432,8.620000,4535.724465,154.003954
433,8.640000,4531.581305,153.863279
434,8.660000,4535.724465,154.003954
435,8.680000,4541.939205,154.214967
436,8.700000,4544.010785,154.285304
437,8.720000,4535.724465,154.003954
438,8.740000,4552.297105,154.566654
439,8.760000,4525.366565,153.652267
440,8.780000,4535.724465,154.003954
441,8.800000,4525.366565,153.652267
442,8.820000,4506.722345,153.019229
443,8.840000,4523.294985,153.581929
444,8.860000,4525.366565,153.652267
445,8.880000,4512.937085,153.230242
446,8.900000,4533.652885,153.933617
447,8.920000,4517.080245,153.370917
448,8.940000,4517.080245,153.370917
449,8.960000,4523.294985,153.581929
450,8.980000,4531.581305,153.863279
451,9.000000,4558.511845,154.777667
452,9.020000,4529.509725,153.792942
453,9.040000,4541.939205,154.214967
454,9.060000,4521.223405,153.511592
455,9.080000,4527.438145,153.722604
456,9.100000,4531.581305,153.863279
457,9.120000,4521.223405,153.511592
458,9.140000,4527.438145,153.722604
459,9.160000,4525.366565,153.652267
460,9.180000,4523.294985,153.581929
461,9.200000,4531.581305,153.863279
462,9.220000,4523.294985,153.581929
463,9.240000,4529.509725,153.792942
464,9.260000,4521.223405,153.511592
465,9.280000,4529.509725,153.792942
466,9.300000,4537.796045,154.074292
467,9.320000,4533.652885,153.933617
468,9.340000,4533.652885,153.933617
469,9.360000,4519.151825,153.441254
470,9.380000,4525.366565,153.652267
471,9.400000,4519.151825,153.441254
472,9.420000,4519.151825,153.441254
473,9.440000,4523.294985,153.581929
474,9.460000,4527.438145,153.722604
475,9.480000,4533.652885,153.933617
476,9.500000,4535.724465,154.003954
477,9.520000,4531.581305,153.863279
478,9.540000,4531.581305,153.863279
479,9.560000,4533.652885,153.933617
480,9.580000,4533.652885,153.933617
481,9.600000,4521.223405,153.511592
482,9.620000,4508.793925,153.089567
483,9.640000,4527.438145,153.722604
484,9.660000,4521.223405,153.511592
485,9.680000,4527.438145,153.722604
486,9.700000,4525.366565,153.652267
487,9.720000,4512.937085,153.230242
488,9.740000,4527.438145,153.722604
489,9.760000,4531.581305,153.863279
490,9.780000,4521.223405,153.511592
491,9.800000,4527.438145,153.722604
492,9.820000,4523.294985,153.581929
493,9.840000,4535.724465,154.003954
494,9.860000,4527.438145,153.722604
495,9.880000,4523.294985,153.581929
496,9.900000,4539.867625,154.144629
497,9.920000,4519.151825,153.441254
498,9.940000,4525.366565,153.652267
499,9.960000,4519.151825,153.441254
500,9.980000,4515.008665,153.300579
501,10.000000,4531.581305,153.863279
502,10.020000,4533.652885,153.933617
503,10.040000,4515.008665,153.300579
504,10.060000,4533.652885,153.933617
505,10.080000,4531.581305,153.863279
506,10.100000,4535.724465,154.003954
507,10.120000,4529.509725,153.792942
508,10.140000,4533.652885,153.933617
509,10.160000,4521.223405,153.511592
510,10.180000,4527.438145,153.722604
511,10.200000,4531.581305,153.863279
512,10.220000,4523.294985,153.581929
513,10.240000,4523.294985,153.581929
514,10.260000,4508.793925,153.089567
515,10.280000,4519.151825,153.441254
516,10.300000,4531.581305,153.863279
517,10.320000,4519.151825,153.441254
518,10.340000,4525.366565,153.652267
519,10.360000,4517.080245,153.370917
520,10.380000,4525.366565,153.652267
521,10.400000,4531.581305,153.863279
522,10.420000,4519.151825,153.441254
523,10.440000,4521.223405,153.511592
524,10.460000,4531.581305,153.863279
525,10.480000,4523.294985,153.581929
526,10.500000,4519.151825,153.441254
527,10.520000,4531.581305,153.863279
528,10.540000,4531.581305,153.863279
529,10.560000,4517.080245,153.370917
530,10.580000,4521.223405,153.511592
531,10.600000,4519.151825,153.441254
532,10.620000,4519.151825,153.441254
533,10.640000,4527.438145,153.722604
534,10.660000,4523.294985,153.581929
535,10.680000,4531.581305,153.863279
536,10.700000,4525.366565,153.652267
537,10.720000,4527.438145,153.722604
538,10.740000,4537.796045,154.074292
539,10.760000,4525.366565,153.652267
540,10.780000,4531.581305,153.863279
541,10.800000,4527.438145,153.722604
542,10.820000,4519.151825,153.441254
543,10.840000,4525.366565,153.652267
544,10.860000,4521.223405,153.511592
545,10.880000,4531.581305,153.863279
546,10.900000,4527.438145,153.722604
547,10.920000,4533.652885,153.933617
548,10.940000,4531.581305,153.863279
549,10.960000,4523.294985,153.581929
550,10.980000,4529.509725,153.792942
551,11.000000,4539.867625,154.144629
552,11.020000,4541.939205,154.214967
553,11.040000,4519.151825,153.441254
554,11.060000,4529.509725,153.792942
555,11.080000,4521.223405,153.511592
556,11.100000,4535.724465,154.003954
557,11.120000,4525.366565,153.652267
558,11.140000,4527.438145,153.722604
559,11.160000,4527.438145,153.722604
560,11.180000,4525.366565,153.652267
561,11.200000,4529.509725,153.792942
562,11.220000,4527.438145,153.722604
563,11.240000,4523.294985,153.581929
564,11.260000,4521.223405,153.511592
565,11.280000,4527.438145,153.722604
566,11.300000,4527.438145,153.722604
567,11.320000,4529.509725,153.792942
568,11.340000,4535.724465,154.003954
569,11.360000,4523.294985,153.581929
570,11.380000,4519.151825,153.441254
571,11.400000,4527.438145,153.722604
572,11.420000,4523.294985,153.581929
573,11.440000,4533.652885,153.933617
574,11.460000,4521.223405,153.511592
575,11.480000,4517.080245,153.370917
576,11.500000,4525.366565,153.652267
577,11.520000,4519.151825,153.441254
578,11.540000,4525.366565,153.652267
579,11.560000,4531.581305,153.863279
580,11.580000,4527.438145,153.722604
581,11.600000,4527.438145,153.722604
582,11.620000,4531.581305,153.863279
583,11.640000,4527.438145,153.722604
584,11.660000,4533.652885,153.933617
585,11.680000,4525.366565,153.652267
