*
POSN mm 	LOAD kn	CTOD mm
-7.550927	18.689087	0.589325
-7.546759	18.822295	0.593113
-7.542070	18.945095	0.597109
-7.537381	19.040838	0.600939
-7.532171	19.174046	0.605268
-7.526961	19.301009	0.609098
-7.521751	19.388426	0.613011
-7.495701	16.557768	0.705088
-7.518625	16.058240	0.685274
-7.508205	16.310086	0.694182
-7.502474	16.430805	0.698595
-7.496743	16.541117	0.702882
-7.492575	16.641023	0.707170
-7.488407	16.724277	0.711082
-7.483197	16.840834	0.716244
-7.479029	15.442156	0.749462
-7.471735	15.569119	0.755206
-7.467567	15.666943	0.760202
-7.462878	15.758523	0.764614
-7.457147	15.841778	0.769526
-7.451937	15.893812	0.775104
-7.446205	13.772900	0.825411
-7.444642	13.818690	0.828076
-7.438390	13.918596	0.833154
-7.432138	14.014339	0.838898

