[Shared Parameters]

Comment,Charpy Impact, 
Span,40.000,mm

[Shared Data]

Test Name,N01-D-2024-T4-0C,
Instrument,8250,
Operator,N01-D,
Date,10/27/2025 4:42:35 PM,

[Step [1] Data]

Specimen ID,2024-T4, 0C, 0.2162 mm,
Impact Height (Nominal),758.000,mm
Total Mass,12.778,kg
Width,7.960,mm
Thickness,9.540,mm
Start Velocity,3.804,m/s
Start Time,0.000,ms
Total Time,0.810,ms
Peak Force,8330.880,N
Total Energy,9.116,J

