[NO1-C1045HR-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
94,0.186000,-2643.651609,1.462100,0.698322,3.748014,-23.612553
95,0.188000,-3226.298510,1.440097,0.705819,3.748494,-28.584918
96,0.190000,-3452.400292,1.415060,0.713316,3.749038,-30.514493
97,0.192000,-3229.197251,1.390009,0.720815,3.749581,-28.609657
98,0.194000,-2724.816352,1.367683,0.728315,3.750068,-24.305221
99,0.196000,-2078.397153,1.349670,0.735815,3.750464,-18.788616
100,0.198000,-1371.104398,1.336732,0.743317,3.750754,-12.752510
101,0.200000,-614.533049,1.329284,0.750818,3.750930,-6.295856
102,0.202000,40.582371,1.327131,0.758320,3.750994,-0.705037
103,0.204000,634.824235,1.329665,0.765822,3.750961,4.366281
104,0.206000,1162.395061,1.336406,0.773324,3.750840,8.868622
105,0.208000,1536.332624,1.346528,0.780825,3.750648,12.059842
106,0.210000,1605.902403,1.358313,0.788326,3.750421,12.653558
107,0.212000,1298.635878,1.369206,0.795827,3.750213,10.031315
108,0.214000,791.356238,1.377044,0.803327,3.750068,5.702141
109,0.216000,249.291709,1.380946,0.810827,3.750006,1.076109
110,0.218000,-133.342077,1.381381,0.818327,3.750017,-2.189325
111,0.220000,-339.152674,1.379609,0.825828,3.750074,-3.945733
112,0.222000,-368.140082,1.376957,0.833328,3.750149,-4.193114
113,0.224000,-229.000523,1.374717,0.840828,3.750215,-3.005684
114,0.226000,11.594963,1.373902,0.848329,3.750252,-0.952418
115,0.228000,179.721930,1.374620,0.855829,3.750256,0.482394
116,0.230000,153.633262,1.375870,0.863330,3.750250,0.259750
117,0.232000,14.493704,1.376500,0.870830,3.750256,-0.927680
118,0.234000,-214.506819,1.375750,0.878331,3.750292,-2.881993
119,0.236000,-486.988454,1.373119,0.885831,3.750366,-5.207378
120,0.238000,-788.457497,1.368336,0.893332,3.750486,-7.780144
121,0.240000,-1084.129059,1.361313,0.900833,3.750652,-10.303434
122,0.242000,-1240.661062,1.352593,0.908335,3.750854,-11.639294
123,0.244000,-1379.800621,1.342764,0.915837,3.751079,-12.826725
124,0.246000,-1658.079737,1.331368,0.923339,3.751337,-15.201586
125,0.248000,-1971.143744,1.317753,0.930842,3.751641,-17.873305
126,0.250000,-2078.397153,1.302560,0.938346,3.751979,-18.788616
127,0.252000,-1918.966409,1.287561,0.945850,3.752312,-17.428018
128,0.254000,-1620.396107,1.274280,0.953355,3.752609,-14.879990
129,0.256000,-1397.193065,1.262956,0.960860,3.752865,-12.975153
130,0.258000,-1292.838397,1.252860,0.968366,3.753096,-12.084580
131,0.260000,-1365.306917,1.242883,0.975873,3.753324,-12.703034
132,0.262000,-1623.294848,1.231666,0.983380,3.753578,-14.904728
133,0.264000,-1811.713000,1.218772,0.990887,3.753867,-16.512707
134,0.266000,-1791.421814,1.205245,0.998395,3.754169,-16.339540
135,0.268000,-1437.775437,1.193122,1.005904,3.754442,-13.321487
136,0.270000,-887.014685,1.184394,1.013413,3.754644,-8.621241
137,0.272000,-292.772821,1.179964,1.020922,3.754756,-3.549923
138,0.274000,202.911856,1.179627,1.028432,3.754783,0.680299
139,0.276000,576.849419,1.182554,1.035941,3.754741,3.871519
140,0.278000,907.305870,1.188127,1.043451,3.754644,6.691666
141,0.280000,1240.661062,1.196192,1.050960,3.754495,9.536552
142,0.282000,1501.547734,1.206487,1.058469,3.754300,11.762985
143,0.284000,1759.535665,1.218729,1.065977,3.754064,13.964679
144,0.286000,1959.548781,1.232691,1.073485,3.753792,15.671610
145,0.288000,1982.738707,1.247489,1.080992,3.753502,15.869516
146,0.290000,1869.687816,1.261948,1.088499,3.753220,14.904728
147,0.292000,1646.484774,1.275145,1.096005,3.752964,12.999892
148,0.294000,1553.725069,1.287155,1.103511,3.752732,12.208271
149,0.296000,1649.383515,1.299175,1.111016,3.752501,13.024630
150,0.298000,1901.573965,1.312499,1.118521,3.752242,15.176848
151,0.300000,2214.637971,1.327943,1.126025,3.751939,17.848567
152,0.302000,2521.904496,1.345714,1.133528,3.751587,20.470809
153,0.304000,2794.386131,1.365657,1.141031,3.751189,22.796194
154,0.306000,2919.031985,1.387088,1.148533,3.750761,23.859934
155,0.308000,2826.272280,1.408636,1.156034,3.750330,23.068314
156,0.310000,2576.980571,1.428899,1.163535,3.749926,20.940834
157,0.312000,2290.005232,1.447149,1.171034,3.749564,18.491758
158,0.314000,1942.156336,1.463017,1.178533,3.749251,15.523182
159,0.316000,1510.243957,1.475961,1.186031,3.749000,11.837199
160,0.318000,1104.420245,1.485763,1.193529,3.748815,8.373860
161,0.320000,820.343646,1.492978,1.201026,3.748684,5.949522
162,0.322000,692.799051,1.498651,1.208524,3.748584,4.861044
163,0.324000,687.001570,1.503823,1.216021,3.748496,4.811568
164,0.326000,759.470090,1.509245,1.223518,3.748402,5.430021
165,0.328000,933.394537,1.515590,1.231014,3.748289,6.914310
166,0.330000,1171.091283,1.523478,1.238511,3.748143,8.942837
167,0.332000,1374.003139,1.533018,1.246007,3.747963,10.674507
168,0.334000,1472.560326,1.543686,1.253503,3.747760,11.515603
169,0.336000,1527.636401,1.554930,1.260998,3.747544,11.985628
170,0.338000,1516.041438,1.566336,1.268493,3.747325,11.886675
171,0.340000,1353.711953,1.577089,1.275987,3.747120,10.501340
172,0.342000,1101.521504,1.586289,1.283481,3.746947,8.349122
173,0.344000,869.622240,1.593675,1.290975,3.746812,6.370071
174,0.346000,747.875126,1.599735,1.298469,3.746704,5.331069
175,0.348000,863.824758,1.605774,1.305962,3.746598,6.320594
176,0.350000,1081.230318,1.613061,1.313455,3.746465,8.175955
177,0.352000,1342.116990,1.622140,1.320948,3.746294,10.402387
178,0.354000,1492.851512,1.632760,1.328440,3.746092,11.688770
179,0.356000,1591.408699,1.644314,1.335932,3.745869,12.529867
180,0.358000,1634.889811,1.656398,1.343424,3.745636,12.900939
181,0.360000,1620.396107,1.668591,1.350915,3.745400,12.777248
182,0.362000,1637.788552,1.680794,1.358405,3.745164,12.925677
183,0.364000,1704.459590,1.693311,1.365895,3.744922,13.494654
184,0.366000,1660.978478,1.705914,1.373385,3.744678,13.123582
185,0.368000,1426.180473,1.717474,1.380874,3.744455,11.119793
186,0.370000,1078.331577,1.726852,1.388363,3.744278,8.151216
187,0.372000,771.065053,1.733776,1.395851,3.744153,5.528974
188,0.374000,501.482158,1.738541,1.403339,3.744073,3.228327
189,0.376000,344.950155,1.741710,1.410827,3.744026,1.892468
190,0.378000,249.291709,1.743935,1.418315,3.743999,1.076109
191,0.380000,257.987931,1.745834,1.425803,3.743979,1.150323
192,0.382000,313.064006,1.747972,1.433291,3.743954,1.620348
193,0.384000,321.760229,1.750349,1.440779,3.743923,1.694562
194,0.386000,220.304301,1.752378,1.448267,3.743900,0.828728
195,0.388000,75.367261,1.753485,1.455755,3.743897,-0.408179
196,0.390000,-115.949632,1.753333,1.463243,3.743920,-2.040896

[Raw Data]

Point ID,Time [ms],Force [N],Voltage Ch1 [mV]
1,-3.722000,-155.082633,-1.323490
2,-3.720000,-163.778855,-1.397705
3,-3.718000,-163.778855,-1.397705
4,-3.716000,-155.082633,-1.323490
5,-3.714000,-137.690188,-1.175062
6,-3.712000,-140.588929,-1.199800
7,-3.710000,-149.285151,-1.274014
8,-3.708000,-157.981374,-1.348229
9,-3.706000,-152.183892,-1.298752
10,-3.704000,-146.386410,-1.249276
11,-3.702000,-152.183892,-1.298752
12,-3.700000,-137.690188,-1.175062
13,-3.698000,-155.082633,-1.323490
14,-3.696000,-157.981374,-1.348229
15,-3.694000,-157.981374,-1.348229
16,-3.692000,-149.285151,-1.274014
17,-3.690000,-152.183892,-1.298752
18,-3.688000,-155.082633,-1.323490
19,-3.686000,-149.285151,-1.274014
20,-3.684000,-149.285151,-1.274014
21,-3.682000,-134.791447,-1.150323
22,-3.680000,-143.487670,-1.224538
23,-3.678000,-143.487670,-1.224538
24,-3.676000,-152.183892,-1.298752
25,-3.674000,-166.677596,-1.422443
26,-3.672000,-160.880114,-1.372967
27,-3.670000,-152.183892,-1.298752
28,-3.668000,-152.183892,-1.298752
29,-3.666000,-137.690188,-1.175062
30,-3.664000,-128.993966,-1.100847
31,-3.662000,-131.892706,-1.125585
32,-3.660000,-137.690188,-1.175062
33,-3.658000,-155.082633,-1.323490
34,-3.656000,-166.677596,-1.422443
35,-3.654000,-184.070041,-1.570872
36,-3.652000,-175.373818,-1.496657
37,-3.650000,-149.285151,-1.274014
38,-3.648000,-134.791447,-1.150323
39,-3.646000,-120.297743,-1.026633
40,-3.644000,-134.791447,-1.150323
41,-3.642000,-152.183892,-1.298752
42,-3.640000,-160.880114,-1.372967
43,-3.638000,-166.677596,-1.422443
44,-3.636000,-163.778855,-1.397705
45,-3.634000,-160.880114,-1.372967
46,-3.632000,-137.690188,-1.175062
47,-3.630000,-137.690188,-1.175062
48,-3.628000,-143.487670,-1.224538
49,-3.626000,-152.183892,-1.298752
50,-3.624000,-152.183892,-1.298752
51,-3.622000,-149.285151,-1.274014
52,-3.620000,-152.183892,-1.298752
53,-3.618000,-143.487670,-1.224538
54,-3.616000,-143.487670,-1.224538
55,-3.614000,-166.677596,-1.422443
56,-3.612000,-181.171300,-1.546134
57,-3.610000,-166.677596,-1.422443
58,-3.608000,-152.183892,-1.298752
59,-3.606000,-131.892706,-1.125585
60,-3.604000,-137.690188,-1.175062
61,-3.602000,-137.690188,-1.175062
62,-3.600000,-155.082633,-1.323490
63,-3.598000,-166.677596,-1.422443
64,-3.596000,-169.576337,-1.447181
65,-3.594000,-152.183892,-1.298752
66,-3.592000,-149.285151,-1.274014
67,-3.590000,-143.487670,-1.224538
68,-3.588000,-134.791447,-1.150323
69,-3.586000,-146.386410,-1.249276
70,-3.584000,-157.981374,-1.348229
71,-3.582000,-152.183892,-1.298752
72,-3.580000,-143.487670,-1.224538
73,-3.578000,-152.183892,-1.298752
74,-3.576000,-146.386410,-1.249276
75,-3.574000,-166.677596,-1.422443
76,-3.572000,-157.981374,-1.348229
77,-3.570000,-152.183892,-1.298752
78,-3.568000,-143.487670,-1.224538
79,-3.566000,-152.183892,-1.298752
80,-3.564000,-157.981374,-1.348229
81,-3.562000,-163.778855,-1.397705
82,-3.560000,-157.981374,-1.348229
83,-3.558000,-149.285151,-1.274014
84,-3.556000,-137.690188,-1.175062
85,-3.554000,-140.588929,-1.199800
86,-3.552000,-149.285151,-1.274014
87,-3.550000,-160.880114,-1.372967
88,-3.548000,-169.576337,-1.447181
89,-3.546000,-175.373818,-1.496657
90,-3.544000,-169.576337,-1.447181
91,-3.542000,-143.487670,-1.224538
92,-3.540000,-134.791447,-1.150323
93,-3.538000,-126.095225,-1.076109
94,-3.536000,-131.892706,-1.125585
95,-3.534000,-152.183892,-1.298752
