[NO1-C1045HR-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
94,0.186000,8278.803724,5.217618,0.688794,3.665661,66.978509
95,0.188000,8522.297951,5.279194,0.696124,3.664363,69.056512
96,0.190000,8597.665212,5.341916,0.703452,3.663040,69.699704
97,0.192000,8336.778540,5.403937,0.710776,3.661731,67.473271
98,0.194000,7620.789562,5.462360,0.718099,3.660499,61.362951
99,0.196000,6469.989465,5.513932,0.725419,3.659414,51.541911
100,0.198000,5038.011510,5.556040,0.732737,3.658531,39.321270
101,0.200000,3420.514144,5.586984,0.740053,3.657887,25.517389
102,0.202000,1942.156336,5.606599,0.747368,3.657486,12.900939
103,0.204000,768.166312,5.616512,0.754683,3.657293,2.881993
104,0.206000,-220.304301,5.618516,0.761998,3.657270,-5.553712
105,0.208000,-1060.939132,5.613830,0.769312,3.657390,-12.727772
106,0.210000,-1791.421814,5.603397,0.776627,3.657634,-18.961783
107,0.212000,-2455.233457,5.587863,0.783943,3.657986,-24.626816
108,0.214000,-3017.589172,5.567842,0.791259,3.658435,-29.426015
109,0.216000,-3577.046146,5.543714,0.798577,3.658972,-34.200476
110,0.218000,-4281.440161,5.514958,0.805895,3.659608,-40.211843
111,0.220000,-5322.088108,5.479809,0.813215,3.660380,-49.092835
112,0.222000,-6641.015172,5.436013,0.820537,3.661338,-60.348688
113,0.224000,-8067.195645,5.382151,0.827861,3.662511,-72.519852
114,0.226000,-9255.679373,5.318693,0.835187,3.663890,-82.662488
115,0.228000,-9928.187238,5.248391,0.842517,3.665414,-88.401736
116,0.230000,-9948.478424,5.175519,0.849849,3.666992,-88.574903
117,0.232000,-9403.515154,5.104541,0.857185,3.668529,-83.924133
118,0.234000,-8557.082840,5.038640,0.864523,3.669958,-76.700597
119,0.236000,-7574.409709,4.979428,0.871864,3.671242,-68.314368
120,0.238000,-6533.761762,4.927626,0.879208,3.672368,-59.433377
121,0.240000,-5522.101223,4.883347,0.886554,3.673333,-50.799766
122,0.242000,-4484.352017,4.846587,0.893901,3.674138,-41.943513
123,0.244000,-3435.007847,4.817488,0.901250,3.674779,-32.988307
124,0.246000,-2429.144790,4.795937,0.908600,3.675258,-24.404173
125,0.248000,-1446.471659,4.781693,0.915951,3.675582,-16.017944
126,0.250000,-623.229272,4.774085,0.923302,3.675764,-8.992313
127,0.252000,40.582371,4.771943,0.930654,3.675829,-3.327280
128,0.254000,675.406607,4.774575,0.938005,3.675792,2.090373
129,0.256000,1362.408176,4.782066,0.945357,3.675652,7.953311
130,0.258000,2061.004709,4.794648,0.952708,3.675403,13.915203
131,0.260000,2779.892427,4.812440,0.960058,3.675043,20.050261
132,0.262000,3449.501552,4.835331,0.967408,3.674574,25.764771
133,0.264000,3982.869859,4.862640,0.974757,3.674011,30.316588
134,0.266000,4388.693571,4.893394,0.982104,3.673374,33.779927
135,0.268000,4600.301649,4.926411,0.989450,3.672689,35.585812
136,0.270000,4666.972688,4.960444,0.996795,3.671982,36.154789
137,0.272000,4464.060832,4.993969,1.004138,3.671285,34.423119
138,0.274000,3950.983710,5.024861,1.011480,3.670645,30.044469
139,0.276000,3197.311102,5.051098,1.018821,3.670104,23.612553
140,0.278000,2420.448568,5.071715,1.026160,3.669683,16.982732
141,0.280000,1791.421814,5.087171,1.033499,3.669372,11.614556
142,0.282000,1417.484251,5.098945,1.040838,3.669140,8.423336
143,0.284000,1095.724023,5.108166,1.048176,3.668963,5.677403
144,0.286000,687.001570,5.114707,1.055514,3.668842,2.189325
145,0.288000,298.570303,5.118323,1.062851,3.668785,-1.125585
146,0.290000,-23.189926,5.119333,1.070189,3.668783,-3.871519
147,0.292000,-292.772820,5.118174,1.077527,3.668827,-6.172165
148,0.294000,-455.102305,5.115430,1.084864,3.668905,-7.557501
149,0.296000,-547.862011,5.111750,1.092202,3.669004,-8.349122
150,0.298000,-701.495273,5.107166,1.099540,3.669121,-9.660243
151,0.300000,-1031.951724,5.100806,1.106879,3.669277,-12.480391
152,0.302000,-1397.193065,5.091892,1.114218,3.669487,-15.597396
153,0.304000,-1716.054553,5.080468,1.121557,3.669751,-18.318591
154,0.306000,-1747.940702,5.067755,1.128897,3.670042,-18.590711
155,0.308000,-1562.421291,5.055605,1.136237,3.670321,-17.007470
156,0.310000,-1307.332100,5.045072,1.143578,3.670566,-14.830514
157,0.312000,-1081.230318,5.036305,1.150919,3.670773,-12.900939
158,0.314000,-1005.863057,5.028643,1.158261,3.670956,-12.257747
159,0.316000,-1034.850465,5.021152,1.165603,3.671136,-12.505129
160,0.318000,-1153.698838,5.013117,1.172945,3.671327,-13.519392
161,0.320000,-1316.028323,5.004050,1.180288,3.671540,-14.904728
162,0.322000,-1333.420768,4.994322,1.187632,3.671768,-15.053157
163,0.324000,-1179.787505,4.985093,1.194975,3.671984,-13.742036
164,0.326000,-956.584464,4.977249,1.202320,3.672172,-11.837199
165,0.328000,-713.090236,4.971117,1.209664,3.672322,-9.759195
166,0.330000,-495.684676,4.966678,1.217009,3.672436,-7.903835
167,0.332000,-202.911856,4.964113,1.224354,3.672511,-5.405283
