[NO1-C-1045HR-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
95,0.188000,11322.481563,5.014362,0.703132,3.677305,95.229462
96,0.190000,10794.910737,5.095676,0.710485,3.675590,90.727121
97,0.192000,10441.264360,5.173714,0.717835,3.673944,87.709068
98,0.194000,10189.073910,5.249492,0.725181,3.672346,85.556850
99,0.196000,9936.883461,5.323386,0.732524,3.670787,83.404632
100,0.198000,9655.705603,5.395292,0.739864,3.669270,81.005033
101,0.200000,9290.464262,5.464797,0.747201,3.667804,77.888028
102,0.202000,8846.956920,5.531309,0.754535,3.666401,74.103092
103,0.204000,8330.981058,5.594279,0.761867,3.665074,69.699704
104,0.206000,7641.080748,5.652809,0.769196,3.663841,63.812027
105,0.208000,6838.129546,5.705850,0.776522,3.662725,56.959563
106,0.210000,5968.507306,5.752752,0.783847,3.661740,49.538121
107,0.212000,5122.074993,5.793358,0.791169,3.660890,42.314585
108,0.214000,4374.199866,5.828120,0.798491,3.660165,35.932145
109,0.216000,3878.515190,5.858324,0.805810,3.659537,31.701924
110,0.218000,3687.198297,5.886009,0.813129,3.658963,30.069207
111,0.220000,3791.552966,5.913371,0.820446,3.658396,30.959780
112,0.222000,4177.085492,5.942521,0.827762,3.657791,34.249952
113,0.224000,4814.808468,5.975408,0.835077,3.657105,39.692342
114,0.226000,5649.645818,6.013673,0.842391,3.656304,46.816926
115,0.228000,6580.141615,6.058383,0.849702,3.655365,54.757869
116,0.230000,7420.776447,6.109553,0.857012,3.654287,61.931929
117,0.232000,8186.044018,6.166575,0.864319,3.653082,68.462797
118,0.234000,8849.855661,6.228797,0.871624,3.651766,74.127831
119,0.236000,9444.097525,6.295589,0.878926,3.650351,79.199149
120,0.238000,9945.579683,6.366353,0.886225,3.648850,83.478847
121,0.240000,10391.985766,6.440545,0.893522,3.647274,87.288520
122,0.242000,10812.303182,6.517866,0.900814,3.645631,90.875550
123,0.244000,11267.405488,6.598341,0.908104,3.643919,94.759438
124,0.246000,11716.710312,6.682072,0.915390,3.642136,98.593849
125,0.248000,12110.939060,6.768833,0.922673,3.640287,101.958236
126,0.250000,12487.775364,6.858356,0.929951,3.638377,105.174194
127,0.252000,12742.864555,6.950129,0.937226,3.636418,107.351150
128,0.254000,12809.535593,7.043023,0.944497,3.634434,107.920127
129,0.256000,12687.788480,7.135666,0.951764,3.632454,106.881125
130,0.258000,12467.484179,7.227017,0.959027,3.630501,105.001027
131,0.260000,12226.888692,7.316647,0.966286,3.628584,102.947761
132,0.262000,11986.293206,7.404484,0.973541,3.626704,100.894496
133,0.264000,11751.495201,7.490552,0.980793,3.624862,98.890707
134,0.266000,11519.595937,7.574886,0.988041,3.623057,96.911656
135,0.268000,11299.291637,7.657540,0.995285,3.621287,95.031557
136,0.270000,10997.822593,7.738265,1.002526,3.619558,92.458791
137,0.272000,10603.593845,7.816435,1.009763,3.617883,89.094404
138,0.274000,10125.301613,7.891414,1.016997,3.616277,85.012611
139,0.276000,9629.616936,7.962838,1.024228,3.614748,80.782390
140,0.278000,9055.666258,8.030368,1.031456,3.613302,75.884238
141,0.280000,8386.057133,8.093379,1.038682,3.611954,70.169729
142,0.282000,7655.574452,8.151311,1.045904,3.610715,63.935718
143,0.284000,6907.699325,8.203887,1.053125,3.609593,57.553278
144,0.286000,6203.305311,8.251206,1.060343,3.608584,51.541911
145,0.288000,5446.733962,8.293241,1.067559,3.607690,45.085257
146,0.290000,4684.365132,8.329787,1.074774,3.606915,38.579126
147,0.292000,3962.578673,8.360974,1.081987,3.606257,32.419330
148,0.294000,3359.640587,8.387377,1.089199,3.605702,27.273797
149,0.296000,2924.829467,8.410036,1.096410,3.605229,23.563076
150,0.298000,2771.196204,8.430570,1.103620,3.604802,22.251955
151,0.300000,2878.449614,8.450935,1.110829,3.604378,23.167266
152,0.302000,3174.121175,8.472749,1.118037,3.603923,25.690556
153,0.304000,3498.780145,8.496796,1.125245,3.603419,28.461228
154,0.306000,3756.768076,8.522939,1.132451,3.602870,30.662922
155,0.308000,3994.464822,8.550863,1.139656,3.602282,32.691449
156,0.310000,4368.402385,8.580986,1.146860,3.601645,35.882669
157,0.312000,4893.074470,8.614339,1.154063,3.600939,40.360272
158,0.314000,5516.303741,8.651818,1.161264,3.600142,45.678972
159,0.316000,6212.001533,8.694036,1.168463,3.599242,51.616125
160,0.318000,6939.585474,8.741365,1.175660,3.598230,57.825398
161,0.320000,7670.068156,8.793925,1.182856,3.597104,64.059408
162,0.322000,8319.386095,8.851430,1.190049,3.595869,69.600751
163,0.324000,8861.450624,8.913199,1.197239,3.594542,74.226783
164,0.326000,9278.869299,8.978392,1.204427,3.593139,77.789075
165,0.328000,9571.642120,9.046110,1.211612,3.591680,80.287627
166,0.330000,9736.870346,9.115446,1.218794,3.590185,81.697701
167,0.332000,9739.769086,9.185356,1.225972,3.588677,81.722439
168,0.334000,9667.300566,9.254987,1.233148,3.587175,81.103986
169,0.336000,9635.414418,9.324215,1.240321,3.585681,80.831866
170,0.338000,9606.427010,9.393196,1.247491,3.584191,80.584485
171,0.340000,9499.173600,9.461660,1.254658,3.582713,79.669174
172,0.342000,9244.084410,9.528798,1.261822,3.581262,77.492217
173,0.344000,8893.336773,9.593740,1.268983,3.579859,74.498903
174,0.346000,8551.285359,9.656178,1.276141,3.578511,71.579802
175,0.348000,8212.132685,9.716156,1.283297,3.577216,68.685440
176,0.350000,7803.410232,9.773437,1.290450,3.575979,65.197363
177,0.352000,7342.510445,9.827590,1.297601,3.574811,61.263999
178,0.354000,6742.471100,9.877934,1.304750,3.573726,56.143204
179,0.356000,6026.482122,9.923561,1.311896,3.572744,50.032884
180,0.358000,5211.935957,9.963708,1.319041,3.571883,43.081467
181,0.360000,4371.301126,9.997935,1.326184,3.571151,35.907407
182,0.362000,3597.337332,10.026390,1.333325,3.570545,29.302324
183,0.364000,2919.031985,10.049656,1.340466,3.570054,23.513600
184,0.366000,2290.005231,10.068251,1.347606,3.569665,18.145424
185,0.368000,1684.168404,10.082437,1.354745,3.569373,12.975153
186,0.370000,1223.268617,10.092815,1.361883,3.569165,9.041789
187,0.372000,997.166835,10.100740,1.369022,3.569010,7.112215
188,0.374000,968.179427,10.107754,1.376159,3.568876,6.864833
189,0.376000,1107.318985,10.115161,1.383297,3.568732,8.052264
190,0.378000,1289.939656,10.123716,1.390434,3.568564,9.610767
191,0.380000,1516.041438,10.133729,1.397571,3.568364,11.540341
192,0.382000,1733.446998,10.145324,1.404708,3.568128,13.395702
193,0.384000,1863.890334,10.158159,1.411844,3.567866,14.508918
194,0.386000,2043.612264,10.172100,1.418979,3.567579,16.042683
195,0.388000,2333.486343,10.187715,1.426114,3.567255,18.516496
196,0.390000,2768.297463,10.205913,1.433248,3.566875,22.227217
197,0.392000,3243.690955,10.227356,1.440381,3.566423,26.284272
198,0.394000,3655.312148,10.251959,1.447514,3.565902,29.797087
199,0.396000,4046.642156,10.279421,1.454645,3.565317,33.136736
200,0.398000,4443.769646,10.309689,1.461775,3.564671,36.525861
201,0.400000,4814.808468,10.342689,1.468904,3.563964,39.692342
202,0.402000,5182.948549,10.378317,1.476031,3.563200,42.834086
203,0.404000,5629.354633,10.416839,1.483156,3.562372,46.643759
204,0.406000,6177.216644,10.458892,1.490280,3.561465,51.319267
205,0.408000,6713.483692,10.504796,1.497402,3.560474,55.895823
206,0.410000,7090.319996,10.553936,1.504522,3.559411,59.111781
207,0.412000,7235.257036,10.604919,1.511640,3.558307,60.348688
208,0.414000,7217.864591,10.656339,1.518755,3.557193,60.200259
209,0.416000,7116.408663,10.707321,1.525869,3.556089,59.334424
210,0.418000,6936.686733,10.757288,1.532980,3.555006,57.800659
211,0.420000,6722.179914,10.805838,1.540089,3.553955,55.970037
212,0.422000,6443.900797,10.852623,1.547195,3.552942,53.595176
213,0.424000,6104.748124,10.897202,1.554300,3.551977,50.700814
214,0.426000,5606.164706,10.938794,1.561403,3.551078,46.445854
215,0.428000,4991.631657,10.976423,1.568505,3.550267,41.201369
216,0.430000,4336.516236,11.009538,1.575605,3.549555,35.610550
217,0.432000,3713.286964,11.038109,1.582703,3.548943,30.291850
218,0.434000,3185.716139,11.062591,1.589800,3.548422,25.789509
219,0.436000,2684.233980,11.083419,1.596897,3.547981,21.509811
220,0.438000,2243.625379,11.100902,1.603992,3.547614,17.749614
221,0.440000,1916.067668,11.115659,1.611087,3.547307,14.954204
222,0.442000,1707.358331,11.128512,1.618182,3.547043,13.173058
223,0.444000,1547.927587,11.140058,1.625276,3.546807,11.812461
224,0.446000,1423.281732,11.150596,1.632369,3.546594,10.748721
225,0.448000,1307.332100,11.160280,1.639462,3.546399,9.759195
