[NO1-A-1045HR-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
116,-3.568000,-117.399002,-1.001895
117,-3.566000,-131.892706,-1.125585
118,-3.564000,-140.588929,-1.199800
119,-3.562000,-137.690188,-1.175062
120,-3.560000,-117.399002,-1.001895
121,-3.558000,-111.601521,-0.952418
122,-3.556000,-120.297743,-1.026633
123,-3.554000,-134.791447,-1.150323
124,-3.552000,-152.183892,-1.298752
125,-3.550000,-143.487670,-1.224538
126,-3.548000,-123.196484,-1.051371
127,-3.546000,-111.601521,-0.952418
128,-3.544000,-91.310335,-0.779251
129,-3.542000,-105.804039,-0.902942
130,-3.540000,-126.095225,-1.076109
131,-3.538000,-149.285151,-1.274014
132,-3.536000,-157.981374,-1.348229
133,-3.534000,-131.892706,-1.125585
134,-3.532000,-108.702780,-0.927680
135,-3.530000,-102.905298,-0.878204
136,-3.528000,-123.196484,-1.051371
137,-3.526000,-143.487670,-1.224538
138,-3.524000,-143.487670,-1.224538
139,-3.522000,-149.285151,-1.274014
140,-3.520000,-131.892706,-1.125585
141,-3.518000,-117.399002,-1.001895
142,-3.516000,-97.107817,-0.828728
143,-3.514000,-100.006558,-0.853466
144,-3.512000,-126.095225,-1.076109
145,-3.510000,-149.285151,-1.274014
146,-3.508000,-146.386410,-1.249276
147,-3.506000,-114.500262,-0.977156
148,-3.504000,-97.107817,-0.828728
149,-3.502000,-105.804039,-0.902942
150,-3.500000,-114.500262,-0.977156
151,-3.498000,-140.588929,-1.199800
152,-3.496000,-137.690188,-1.175062
153,-3.494000,-140.588929,-1.199800
154,-3.492000,-120.297743,-1.026633
155,-3.490000,-94.209076,-0.803989
156,-3.488000,-97.107817,-0.828728
157,-3.486000,-117.399002,-1.001895
158,-3.484000,-143.487670,-1.224538
159,-3.482000,-149.285151,-1.274014
160,-3.480000,-134.791447,-1.150323
161,-3.478000,-123.196484,-1.051371
162,-3.476000,-105.804039,-0.902942
163,-3.474000,-97.107817,-0.828728
164,-3.472000,-108.702780,-0.927680
165,-3.470000,-128.993966,-1.100847
166,-3.468000,-137.690188,-1.175062
167,-3.466000,-152.183892,-1.298752
168,-3.464000,-140.588929,-1.199800
169,-3.462000,-128.993966,-1.100847
170,-3.460000,-123.196484,-1.051371
171,-3.458000,-108.702780,-0.927680
172,-3.456000,-123.196484,-1.051371
173,-3.454000,-126.095225,-1.076109
174,-3.452000,-157.981374,-1.348229
175,-3.450000,-143.487670,-1.224538
176,-3.448000,-134.791447,-1.150323
177,-3.446000,-111.601521,-0.952418
178,-3.444000,-117.399002,-1.001895
179,-3.442000,-117.399002,-1.001895
180,-3.440000,-117.399002,-1.001895
181,-3.438000,-131.892706,-1.125585
182,-3.436000,-140.588929,-1.199800
183,-3.434000,-146.386410,-1.249276
184,-3.432000,-143.487670,-1.224538
185,-3.430000,-126.095225,-1.076109
186,-3.428000,-114.500262,-0.977156
187,-3.426000,-108.702780,-0.927680
188,-3.424000,-126.095225,-1.076109
189,-3.422000,-134.791447,-1.150323
190,-3.420000,-131.892706,-1.125585
191,-3.418000,-123.196484,-1.051371
192,-3.416000,-111.601521,-0.952418
193,-3.414000,-120.297743,-1.026633
194,-3.412000,-114.500262,-0.977156
195,-3.410000,-134.791447,-1.150323
196,-3.408000,-137.690188,-1.175062
197,-3.406000,-143.487670,-1.224538
198,-3.404000,-117.399002,-1.001895
199,-3.402000,-102.905298,-0.878204
200,-3.400000,-100.006558,-0.853466
201,-3.398000,-97.107817,-0.828728
202,-3.396000,-120.297743,-1.026633
203,-3.394000,-131.892706,-1.125585
204,-3.392000,-143.487670,-1.224538
205,-3.390000,-131.892706,-1.125585
206,-3.388000,-111.601521,-0.952418
207,-3.386000,-97.107817,-0.828728
208,-3.384000,-102.905298,-0.878204
209,-3.382000,-117.399002,-1.001895
210,-3.380000,-146.386410,-1.249276
211,-3.378000,-155.082633,-1.323490
212,-3.376000,-137.690188,-1.175062
213,-3.374000,-120.297743,-1.026633
214,-3.372000,-94.209076,-0.803989
215,-3.370000,-105.804039,-0.902942
216,-3.368000,-126.095225,-1.076109
217,-3.366000,-146.386410,-1.249276
218,-3.364000,-152.183892,-1.298752
219,-3.362000,-140.588929,-1.199800
220,-3.360000,-134.791447,-1.150323
221,-3.358000,-117.399002,-1.001895
222,-3.356000,-108.702780,-0.927680
223,-3.354000,-114.500262,-0.977156
224,-3.352000,-128.993966,-1.100847
225,-3.350000,-160.880114,-1.372967
226,-3.348000,-155.082633,-1.323490
227,-3.346000,-137.690188,-1.175062
228,-3.344000,-114.500262,-0.977156
