*
POSN mm 	LOAD kn	CTOD mm
-7.576978	21.744533	0.541830
-7.571768	21.836113	0.545409
-7.566558	21.956832	0.550155
-7.561869	22.044250	0.554526
-7.555096	22.160806	0.558314
-7.550927	22.252386	0.563226
-7.546759	22.371024	0.566847
-7.541549	22.485499	0.571135
-7.536339	22.570835	0.575297
-7.531129	22.689473	0.579210
-7.526961	22.797704	0.583040
-7.521751	22.835169	0.587286
-7.516541	22.985027	0.591781
-7.511331	23.080770	0.595777
-7.505079	23.164025	0.600606
-7.501953	23.205652	0.606017
-7.495701	22.993353	0.617839
-7.491533	23.097421	0.621086
-7.486323	23.218140	0.624791
-7.481634	23.343022	0.628995
-7.477466	23.461660	0.632908
-7.471735	23.551159	0.635988
-7.465483	23.696854	0.641150
-7.461315	23.809248	0.645230
-7.455063	22.962132	0.667791
-7.451415	23.051631	0.672620
-7.446726	23.164025	0.676533
-7.442037	23.259767	0.680987
-7.436827	23.326371	0.686523
-7.431617	23.374243	0.691768
-7.426928	23.484555	0.696263
-7.421718	23.561566	0.699677
-7.416508	23.671878	0.705505
-7.411819	23.397138	0.716827
-7.409214	23.461660	0.719366
-7.401920	23.613600	0.725152
-7.396710	23.530345	0.733394
-7.391500	23.486636	0.740554
-7.386290	23.584461	0.744717
-7.382122	23.644820	0.749962
-7.376912	23.719749	0.754790
-7.371702	23.771784	0.759036
-7.366492	23.859201	0.764781
-7.361282	23.840469	0.772023
-7.357635	23.909154	0.776686
-7.350862	23.984083	0.781847
-7.346693	24.046524	0.786426
-7.341483	24.075663	0.793003
-7.336794	24.133941	0.797749
-7.332105	23.771784	0.811591
-7.326895	23.875852	0.815421
-7.321685	23.884177	0.820500
-7.316996	23.769702	0.830157
-7.312307	23.869608	0.834736
-7.307097	23.971595	0.839481
-7.301887	24.044443	0.844393
-7.296156	24.019466	0.851386
-7.291988	24.106884	0.856298
-7.287299	24.192220	0.860877
-7.282610	24.235928	0.866538
-7.276879	24.067338	0.876196
-7.271669	23.936212	0.882856
-7.266980	24.042361	0.888767
-7.260207	23.626088	0.905334
-7.258123	23.594867	0.908997
-7.252913	23.696854	0.913326
-7.247703	23.738482	0.919154
-7.243013	23.678122	0.926730
-7.238324	23.717668	0.932142
-7.232072	23.780109	0.938136
-7.226862	23.517857	0.949292
-7.221652	23.592786	0.953621
-7.217484	23.690610	0.959282
-7.213316	23.159862	0.974434
-7.208106	23.263930	0.979263
-7.202896	23.367998	0.983925
-7.196644	23.453335	0.988837
-7.192476	23.522020	0.993915
-7.188308	23.584461	0.998660
-7.182577	23.634413	1.004904
-7.177367	22.989190	1.022637
-7.171636	23.072444	1.027216
-7.167989	23.151536	1.032544
-7.162258	23.230628	1.037373
-7.158090	22.924668	1.049361
-7.152880	23.010003	1.054190
-7.147670	23.087014	1.059352
-7.142459	22.772728	1.071923
-7.138291	22.785216	1.074837
-7.132039	22.885121	1.081414
-7.126308	22.789379	1.090155
-7.123703	22.731100	1.096149
-7.117451	22.681148	1.104308
-7.112762	22.652008	1.111302
-7.106510	22.701961	1.117462
-7.102342	22.547940	1.126287
-7.098174	22.587486	1.131782
-7.092443	22.618707	1.137609
-7.088275	22.627032	1.143437
-7.082023	22.291932	1.157257
-7.077334	21.985971	1.168579
-7.073687	22.019273	1.173575
-7.067435	22.085877	1.179402
-7.062746	22.139992	1.185063
-7.057015	22.158725	1.191224
-7.050763	21.729963	1.206543
-7.047116	21.752858	1.212121
-7.042426	21.811137	1.217116
-7.037737	21.856927	1.222028
-7.032006	21.536396	1.235098
-7.027838	21.578023	1.241009
-7.023149	21.607163	1.246171
-7.017418	21.469792	1.255662

